name,principal_component_1
https-api-github-com-repos-cjld-adventures_in_opencl-git-blobs-495112d03103806387d16e78683a47ed6ba13f7c.cl-A,-0.078046038
https-api-github-com-repos-pannotia-pannotia-git-blobs-fa118b6a916dc5806c728e0ed080cf2ef423a570.cl-D,-0.10092105
https-api-github-com-repos-mc-imperial-gpuverify-git-blobs-513d91734fba2cd0ee607ad2d6689e36356e9ac6.cl-A,-0.253793193
https-api-github-com-repos-freedesktop-unofficial-mirror-beignet-git-blobs-3e145d8acb3380d148e60d277800ba4d23ba8c0a.cl-J,-0.089809711
https-api-github-com-repos-antonklava-adventures_in_opencl-git-blobs-6c2955ed99e14a7294494148d2a93de6ce922657.cl-A,-0.083593179
https-api-github-com-repos-caoyilun-project-git-blobs-9d946a623358f5e621096366711fdabb308af63e.cl-F,-0.121959943
https-api-github-com-repos-genrich-cl_matrix-git-blobs-136a5271368374078f2debb1c718dab3d2616bed.cl-A,-0.119460565
https-api-github-com-repos-caoyilun-project-git-blobs-555a9dc467158397b944a719fe6a4c5c0cd47723.cl-A,-0.110789573
https-api-github-com-repos-dnikulin-clamity-git-blobs-eebb30e73361fb48c67179b8f71499857e98f305.cl-A,-0.283880475
https-api-github-com-repos-freedesktop-unofficial-mirror-beignet-git-blobs-ecc1a3eefcbf2d6ead7d30a30f5c2b150c8e8a70.cl-A,-0.29624833
https-api-github-com-repos-caoyilun-project-git-blobs-4d5356cfbd1802463977b822d78a88682fc8b93a.cl-A,-0.167299889
https-api-github-com-repos-karrenberg-wfvopencl-benchmarks-git-blobs-5a1601c19560796c35238fcf4460be75374529e0.cl-A,-0.027975573
https-api-github-com-repos-InfiniteSearchSpace-PyCl-Convergence-git-blobs-b04a4b3e37102e0efb1963e597c7f6b9fd3108a3.cl-A,0.146310049
https-api-github-com-repos-gampel-GPGPU-on-Hadoop-git-blobs-a5de65489a2ee48dff8db8b41f6a3436e3c49442.cl-A,-0.089894389
https-api-github-com-repos-freedesktop-unofficial-mirror-beignet-git-blobs-e20a76ff9b95cb3bb529ad8d7a80e1da313886e1.cl-B,-0.102254066
https-api-github-com-repos-YaccConstructor-Brahma-FSharp-git-blobs-df688da8717dea19bad95bcd63b9d2954e097c45.cl-A,-0.102127049
https-api-github-com-repos-caoyilun-project-git-blobs-c1cbf2aac5387fae6b4d4f6867593667455aab8b.cl-A,0.02608893
https-api-github-com-repos-jenny350026-GPU_CPU_Sync_Optimization_OpenCL-git-blobs-613ff3e5760a9fc73fe708cce93d5bccd7483a4c.cl-A,-0.199953689
https-api-github-com-repos-caoyilun-project-git-blobs-e9ffc4b04085489cc9c5824d00886f099b6cfff1.cl-F,-0.171486518
https-api-github-com-repos-AlexanderRieppel-GPGPU-git-blobs-53153d7b8ab976d6b20fed9bf3b674d41c7a7fa2.cl-A,0.008983028
https-api-github-com-repos-caoyilun-project-git-blobs-1bcf5f21d4d6f9fd98ba82fdb93b2d20c09e851c.cl-A,-0.281578303
https-api-github-com-repos-caoyilun-project-git-blobs-a310991721d72fd6b3222a8a4531e8af3be71f39.cl-A,-0.150201686
https-api-github-com-repos-OpenCL-GEGL-OpenCL-git-blobs-cda7b6d86a50f90dafaafa2e60c4819f2223fce8.cl-A,-1.212005559
https-api-github-com-repos-dixxi-bachelor_thesis-git-blobs-efa89670ecfcaee9c2ad200dfc72215a89a52060.cl-A,-0.123314185
https-api-github-com-repos-caoyilun-project-git-blobs-3e145d8acb3380d148e60d277800ba4d23ba8c0a.cl-I,-0.089809711
https-api-github-com-repos-agremm-Seismic-git-blobs-215cf4f8732ce16091d0760114cd3f0c2b69da06.cl-B,-0.078266326
