name,principal_component_1
8113822b136ca30ca537e948dd0a99eca1314e0b.cl-A,-0.248012531
59237c6b342a21ed77732bf2bbfe89f71e97fa7e.cl-A,-0.154144534
1995527202ac6d8ee15f7912a6841f56af8d9ea5.cl-A,-0.17350489
25f4ac8d34542b2d1a8b440b886c62abae420422.cl-A,-0.154451627
4c3f37f1f6b9f2327e327de3a38b2b4d94cc5bbe.cl-A,-0.337612782
8f1e75a5b2572521f413ae9f2d97f18a0f8e2314.cl-A,-0.062644487
17616769a00bbe915b034c928039552974dee411.cl-A,-0.244055264
415e741024b154434b9357d7c83321679a7ce899.cl-A,-0.297862713
5aa3ab33a1f75f6e7a143f5ed606a6ee34b7940a.cl-A,-0.173688133
7115db1d8c79a5a8c1cbf29df94a0fa4730fc49a.cl-A,-0.065045901
a37bba2cb3c47d04f5038c310f19742de3a4fa23.cl-A,-0.171054461
0290dc84bc0dbf9da66cbb2063dd131c40fc72cc.cl-A,-0.11577188
14e4402918b6ab094936a50980050e4d70fb6464.cl-A,-0.090165357
091269cb5d5c9e48a7f4f3b62b8b9b637e72ca72.cl-A,-0.093173986
9a7ec521e3f12e95d614548e65f0d34e7619af50.cl-A,-0.174342974
336777aaf498be3f58cc0d399133eba32d395618.cl-A,-0.150201686
95fa68c8ac63bb75d02f196008e1b9a0cba2bb7c.cl-A,-0.089145039
6d2dbc7e795c3aff64da179c86848a3c792b253e.cl-A,-0.094793098
161f01fc5dd7ebd2a45100900ce5be684231733d.cl-A,-0.094736646
7527d85686d7fd55a983893fde08fa84e2b5de03.cl-A,-0.089894389
79838428f843d5520731ffd9e03175bfdc78c385.cl-A,-0.137671603
89a12a3d869e1be8e79d26abcfb6787ed359ab53.cl-A,-0.248012531
5cc08086c3ccee1fa8cb1eb26a6d87a1edc1cbec.cl-A,0.045872382
202cccf842be9bb61f6920b79c52b9d455d356d0.cl-A,-0.417475104
1b772436f44cc43ca487ac6d9f2988c9bf1d58d1.cl-A,-0.089784308
376b71dbe9111ec5a219845ece7ff78863ea7c17.cl-A,-0.089765255
277fe546138a2a865ea31c51f9ae3533a8aeff33.cl-A,-0.13655265
35edeb15cdb92119158e8ba2584ea4251b83f886.cl-A,-0.065052252
8b64a3dc108b0ab3c0e5f437c99a608e19fd6801.cl-A,-0.065090357
8f3966b0a9afcf41a551674380c77b2a8301c681.cl-A,-0.173631682
8cba270414ac600744fd5d5519de5c9372e0da9c.cl-A,-0.244055264
051aab6a4b7097b4ffa5b95123a8c642f03bbd96.cl-A,-0.089764395
3c1b5e56fee5d8ca4855c927aa8440bed3b8443d.cl-A,-0.089962131
34f4700e9727e081ddb5df5b222ace97b05e7800.cl-A,0.016224641
672d7a1ad308f4ff73409afee9047858f2a1db64.cl-A,-0.089145039
29dd6d0e881bedcf35516d81b8e1b904721f3ce7.cl-A,-0.087294227
0b8378709bfad11440680a23164b2428ac273023.cl-A,-0.141939357
005ef03ac277e7418bb806ad623f5066de5031da.cl-A,-0.125522511
05f9da49391b169dacff8d1701d3529294a6fa5a.cl-A,-0.149009424
