scenario file,app,applications,throughput (flits/cycle),delay avg (cycles),delay var (cycles),a,b,type,fire rate,overlap
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-9,0,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.9637909,183.71663,17358.747,False,False,compact,0.01,0
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-9,1,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.6308218999999999,115.28753,10355.559000000001,False,False,compact,0.01,0
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-9,2,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.3844304,396668.3,26125420000.0,False,False,compact,0.01,0
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-9,3,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.8167077,209521.56385,7525221360.03,False,False,compact,0.01,0
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-9,4,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.503045,209424.5,7539620000.0,False,False,compact,0.01,0
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-9,5,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.91208,564480.51,31499108500.0,False,False,compact,0.01,0
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-9,6,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.9592533000000001,181.67837,16809.722999999998,False,False,compact,0.01,0
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-9,7,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],1.0243364,395776.97715999995,20474375690.82,False,False,compact,0.01,0
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-9,8,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.7082712999999999,882650.6000000001,82898155000.0,False,False,compact,0.01,0
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-9,9,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],1.4514094,224944.77134,7734444668.2699995,False,False,compact,0.01,0
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-19,0,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.9628228,177.31167,15753.834,False,False,compact,0.01,6
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-19,1,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.6417307,121.14253,11886.875,False,False,compact,0.01,6
