x,y,runtime,representation,representation.target_distortion,representation.extra_dimensions
-1.618459932415297,1.2836483251651742,9240.642552163,MetricSpaceEmbedding,1.3,True
-2.4005403933872307,1.070138629699892,8323.4145715,MetricSpaceEmbedding,1.3,True
-1.88565407269575,0.8687159656792566,8305.4592105,MetricSpaceEmbedding,1.3,True
-2.3300708509171,1.0405588563344215,8305.15559,MetricSpaceEmbedding,1.3,True
-2.4005293520688786,1.0704047381728579,7908.792543833,MetricSpaceEmbedding,1.3,True
-2.3782273728518213,0.986169467743069,5231.049215666,MetricSpaceEmbedding,1.3,True
-2.2987977546295655,0.967846721213069,8206.292543833,MetricSpaceEmbedding,1.3,True
-2.4004713067862835,1.0707392167679137,9832.405834,MetricSpaceEmbedding,1.3,True
-2.400318722435892,1.0704930292610173,8304.7647545,MetricSpaceEmbedding,1.3,True
-2.4003560938585577,1.0701751824853851,8305.4592105,MetricSpaceEmbedding,1.3,True
-2.4005493733528898,1.0704568812122783,8305.4592105,MetricSpaceEmbedding,1.3,True
-2.208111749416467,1.023021999920791,7808.931421166,MetricSpaceEmbedding,1.3,True
-2.3653558503677687,0.9572694083078366,5727.773739333,MetricSpaceEmbedding,1.3,True
-2.19912133488303,1.0623370738075135,7908.792543833,MetricSpaceEmbedding,1.3,True
-2.4219370694467375,1.0011148262377998,6077.475009333,MetricSpaceEmbedding,1.3,True
-2.3305820002035293,1.04048691804378,8206.292543833,MetricSpaceEmbedding,1.3,True
-2.3303093093362213,1.0406659847549304,7908.488923333,MetricSpaceEmbedding,1.3,True
-2.400384707244043,1.070494039603302,5626.939904,MetricSpaceEmbedding,1.3,True
-2.303736827396397,0.9205315492219813,5527.773237333,MetricSpaceEmbedding,1.3,True
-2.4003944380998177,0.3802269310755641,5430.215884333,MetricSpaceEmbedding,1.3,True
-2.4004936594851944,1.0703333673814468,8205.591032333,MetricSpaceEmbedding,1.3,True
-2.400251185842086,1.0700350254649413,8305.4013555,MetricSpaceEmbedding,1.3,True
-2.4135059844763527,1.099411206783733,7908.792543833,MetricSpaceEmbedding,1.3,True
-2.356805316576163,1.0554355324202742,5930.351459833,MetricSpaceEmbedding,1.3,True
-2.302523908185248,1.138375690763396,7607.648498,MetricSpaceEmbedding,1.3,True
-1.5627581910144233,1.1543605087694953,5231.107070666,MetricSpaceEmbedding,1.3,True
-2.2952859356792925,1.0187667926816888,7908.792543833,MetricSpaceEmbedding,1.3,True
-2.3023192558457057,1.1379704291388857,11925.520307,MetricSpaceEmbedding,1.3,True
-2.3303244943092163,1.0406561009723199,8305.4592105,MetricSpaceEmbedding,1.3,True
-2.4136210358451238,1.0996171771491323,7908.488923333,MetricSpaceEmbedding,1.3,True
-2.2952778223564505,1.0186733685753497,7908.792543833,MetricSpaceEmbedding,1.3,True
-2.4005356321907985,1.0705144381138385,8305.4592105,MetricSpaceEmbedding,1.3,True
-2.3652525878045343,0.9574800603842049,5231.107070666,MetricSpaceEmbedding,1.3,True
-2.140521289547584,1.0427387719017018,5726.940404,MetricSpaceEmbedding,1.3,True
-2.356584887909187,1.0555472958770749,5930.351459833,MetricSpaceEmbedding,1.3,True
-2.295169429441695,1.0190131837712912,7908.792543833,MetricSpaceEmbedding,1.3,True
-2.4004238746691384,1.0704855333454248,8205.598087833,MetricSpaceEmbedding,1.3,True
-2.4004931793674564,1.070219779373446,9449.143676,MetricSpaceEmbedding,1.3,True
-2.1748210201385136,0.9872729015333257,4145.424984829,MetricSpaceEmbedding,1.3,True
-2.269063219245494,1.0925405868599438,7809.625877166,MetricSpaceEmbedding,1.3,True
-2.2454767493450336,1.0941995508512683,5626.939904,MetricSpaceEmbedding,1.3,True
-2.400585627102643,1.0701388353740493,8305.4592105,MetricSpaceEmbedding,1.3,True
-2.2952893588536774,1.0191129329194484,5626.939904,MetricSpaceEmbedding,1.3,True
-2.3024922543386133,1.1382043782290023,7606.9469865,MetricSpaceEmbedding,1.3,True
-2.275290408536422,1.0024547437146074,9754.885168833,MetricSpaceEmbedding,1.3,True
