kpn,log_level,platform,mapping,trace,type,design_centering.perturbation.perturbation_type,passed,threshold,representation,random_seed
hog,ERROR,exynos,"[2, 6, 4, 5, 1, 3, 3, 4, 1, 5]",slx_default,center,representation,100.0,1284ms,SimpleVector,10
hog,ERROR,exynos,"[6, 5, 2, 6, 7, 2, 4, 4, 1, 2]",slx_default,rand,representation,80.0,1284ms,SimpleVector,10
hog,ERROR,exynos,"[2, 1, 4, 1, 2, 3, 6, 3, 2, 6]",slx_default,rand,representation,60.0,1284ms,SimpleVector,10
hog,ERROR,exynos,"[5, 1, 4, 0, 2, 7, 0, 4, 7, 4]",slx_default,rand,representation,50.0,1284ms,SimpleVector,10
hog,ERROR,exynos,"[2, 5, 7, 0, 7, 6, 4, 1, 4, 7]",slx_default,rand,representation,100.0,1284ms,SimpleVector,10
hog,ERROR,exynos,"[1, 6, 4, 0, 4, 2, 1, 5, 0, 7]",slx_default,rand,representation,60.0,1284ms,SimpleVector,10
hog,ERROR,exynos,"[7, 5, 5, 2, 2, 7, 5, 5, 6, 2]",slx_default,rand,representation,80.0,1284ms,SimpleVector,10
hog,ERROR,exynos,"[4, 6, 2, 2, 4, 3, 1, 2, 2, 5]",slx_default,rand,representation,90.0,1284ms,SimpleVector,10
hog,ERROR,exynos,"[2, 1, 5, 6, 1, 0, 6, 5, 0, 4]",slx_default,rand,representation,70.0,1284ms,SimpleVector,10
hog,ERROR,exynos,"[1, 3, 4, 2, 1, 1, 2, 6, 7, 1]",slx_default,rand,representation,80.0,1284ms,SimpleVector,10
hog,ERROR,exynos,"[3, 2, 5, 6, 3, 2, 5, 2, 1, 6]",slx_default,rand,representation,90.0,1284ms,SimpleVector,10
hog,ERROR,exynos,"[4, 6, 6, 5, 5, 5, 1, 2, 1, 4]",slx_default,center,representation,100.0,1070ms,SimpleVector,5
hog,ERROR,exynos,"[2, 6, 3, 4, 3, 3, 6, 2, 6, 3]",slx_default,rand,representation,60.0,1070ms,SimpleVector,5
hog,ERROR,exynos,"[1, 1, 2, 5, 1, 5, 5, 3, 5, 3]",slx_default,rand,representation,50.0,1070ms,SimpleVector,5
hog,ERROR,exynos,"[4, 7, 3, 0, 6, 2, 3, 1, 1, 0]",slx_default,rand,representation,50.0,1070ms,SimpleVector,5
hog,ERROR,exynos,"[5, 0, 0, 7, 1, 6, 2, 7, 6, 0]",slx_default,rand,representation,20.0,1070ms,SimpleVector,5
hog,ERROR,exynos,"[0, 1, 4, 3, 4, 1, 6, 4, 7, 1]",slx_default,rand,representation,50.0,1070ms,SimpleVector,5
hog,ERROR,exynos,"[5, 4, 3, 2, 5, 2, 1, 2, 6, 2]",slx_default,rand,representation,40.0,1070ms,SimpleVector,5
hog,ERROR,exynos,"[5, 6, 2, 0, 4, 0, 6, 4, 0, 6]",slx_default,rand,representation,40.0,1070ms,SimpleVector,5
hog,ERROR,exynos,"[5, 4, 0, 6, 0, 6, 6, 5, 3, 7]",slx_default,rand,representation,70.0,1070ms,SimpleVector,5
hog,ERROR,exynos,"[2, 3, 4, 2, 2, 6, 6, 4, 1, 5]",slx_default,rand,representation,60.0,1070ms,SimpleVector,5
hog,ERROR,exynos,"[6, 2, 1, 4, 1, 0, 3, 2, 7, 3]",slx_default,rand,representation,40.0,1070ms,SimpleVector,5
hog,ERROR,exynos,"[5, 6, 7, 5, 4, 5, 4, 5, 3, 2]",slx_default,center,representation,20.0,884ms,SimpleVector,7
hog,ERROR,exynos,"[5, 6, 0, 6, 2, 5, 2, 2, 0, 0]",slx_default,rand,representation,20.0,884ms,SimpleVector,7
hog,ERROR,exynos,"[3, 7, 3, 4, 3, 1, 6, 7, 6, 4]",slx_default,rand,representation,20.0,884ms,SimpleVector,7
hog,ERROR,exynos,"[4, 4, 1, 1, 3, 7, 3, 2, 5, 4]",slx_default,rand,representation,50.0,884ms,SimpleVector,7
hog,ERROR,exynos,"[0, 4, 1, 1, 4, 1, 2, 6, 3, 1]",slx_default,rand,representation,10.0,884ms,SimpleVector,7
hog,ERROR,exynos,"[3, 6, 2, 4, 1, 7, 2, 5, 1, 0]",slx_default,rand,representation,0.0,884ms,SimpleVector,7
hog,ERROR,exynos,"[4, 3, 7, 3, 6, 1, 3, 5, 0, 5]",slx_default,rand,representation,30.0,884ms,SimpleVector,7
