random_seed,threshold,passed,design_centering.perturbation.perturbation_type,kpn,trace,mapping,representation,type,log_level,platform
10,60.3ms,80.0,representation,speaker_recognition,slx_default,"[2, 5, 5, 6, 2, 1, 3, 5, 1, 6, 3, 4]",SimpleVector,center,ERROR,exynos
10,60.3ms,50.0,representation,speaker_recognition,slx_default,"[2, 5, 5, 6, 3, 2, 5, 2, 6, 7, 2, 6]",SimpleVector,rand,ERROR,exynos
10,60.3ms,100.0,representation,speaker_recognition,slx_default,"[0, 6, 2, 5, 4, 3, 1, 0, 5, 1, 7, 6]",SimpleVector,rand,ERROR,exynos
10,60.3ms,90.0,representation,speaker_recognition,slx_default,"[7, 5, 0, 6, 7, 1, 2, 4, 2, 1, 0, 3]",SimpleVector,rand,ERROR,exynos
10,60.3ms,100.0,representation,speaker_recognition,slx_default,"[7, 3, 5, 5, 0, 7, 7, 0, 7, 5, 7, 2]",SimpleVector,rand,ERROR,exynos
10,60.3ms,80.0,representation,speaker_recognition,slx_default,"[5, 0, 6, 6, 0, 1, 4, 4, 6, 2, 0, 3]",SimpleVector,rand,ERROR,exynos
10,60.3ms,100.0,representation,speaker_recognition,slx_default,"[3, 6, 2, 1, 7, 1, 5, 1, 4, 4, 6, 3]",SimpleVector,rand,ERROR,exynos
10,60.3ms,70.0,representation,speaker_recognition,slx_default,"[0, 5, 7, 6, 4, 0, 4, 4, 6, 6, 2, 2]",SimpleVector,rand,ERROR,exynos
10,60.3ms,80.0,representation,speaker_recognition,slx_default,"[3, 0, 6, 5, 2, 5, 2, 3, 2, 6, 6, 6]",SimpleVector,rand,ERROR,exynos
10,60.3ms,100.0,representation,speaker_recognition,slx_default,"[0, 4, 2, 1, 0, 3, 7, 1, 2, 4, 0, 6]",SimpleVector,rand,ERROR,exynos
10,60.3ms,100.0,representation,speaker_recognition,slx_default,"[7, 1, 1, 5, 5, 6, 7, 1, 0, 2, 7, 0]",SimpleVector,rand,ERROR,exynos
5,40.0ms,100.0,representation,speaker_recognition,slx_default,"[4, 5, 6, 6, 6, 5, 2, 1, 1, 2, 4, 5]",SimpleVector,center,ERROR,exynos
5,40.0ms,0.0,representation,speaker_recognition,slx_default,"[5, 0, 4, 1, 0, 2, 7, 3, 1, 1, 0, 2]",SimpleVector,rand,ERROR,exynos
5,40.0ms,70.0,representation,speaker_recognition,slx_default,"[2, 0, 7, 6, 7, 1, 5, 1, 3, 4, 4, 7]",SimpleVector,rand,ERROR,exynos
5,40.0ms,50.0,representation,speaker_recognition,slx_default,"[6, 3, 2, 4, 2, 1, 6, 5, 5, 6, 0, 6]",SimpleVector,rand,ERROR,exynos
5,40.0ms,20.0,representation,speaker_recognition,slx_default,"[1, 2, 5, 5, 3, 5, 1, 1, 5, 6, 7, 5]",SimpleVector,rand,ERROR,exynos
5,40.0ms,90.0,representation,speaker_recognition,slx_default,"[3, 6, 4, 2, 2, 6, 6, 3, 5, 6, 4, 6]",SimpleVector,rand,ERROR,exynos
5,40.0ms,10.0,representation,speaker_recognition,slx_default,"[6, 1, 0, 6, 6, 2, 0, 5, 0, 1, 4, 1]",SimpleVector,rand,ERROR,exynos
5,40.0ms,80.0,representation,speaker_recognition,slx_default,"[3, 0, 3, 2, 6, 2, 7, 7, 7, 6, 5, 1]",SimpleVector,rand,ERROR,exynos
5,40.0ms,80.0,representation,speaker_recognition,slx_default,"[7, 3, 4, 4, 6, 2, 7, 2, 2, 6, 3, 4]",SimpleVector,rand,ERROR,exynos
5,40.0ms,0.0,representation,speaker_recognition,slx_default,"[6, 3, 7, 0, 3, 4, 0, 5, 4, 6, 0, 4]",SimpleVector,rand,ERROR,exynos
5,40.0ms,0.0,representation,speaker_recognition,slx_default,"[1, 2, 4, 6, 4, 0, 1, 0, 1, 1, 1, 1]",SimpleVector,rand,ERROR,exynos
7,34.9ms,60.0,representation,speaker_recognition,slx_default,"[4, 0, 3, 6, 3, 6, 4, 4, 6, 4, 5, 1]",SimpleVector,center,ERROR,exynos
7,34.9ms,0.0,representation,speaker_recognition,slx_default,"[4, 0, 1, 4, 6, 0, 7, 7, 0, 2, 3, 3]",SimpleVector,rand,ERROR,exynos
7,34.9ms,50.0,representation,speaker_recognition,slx_default,"[2, 3, 1, 3, 5, 7, 6, 3, 3, 6, 6, 7]",SimpleVector,rand,ERROR,exynos
