random_seed,platform.processor_1.type,trace,representation,platform.processor_0.type,threshold,log_level,mapping,design_centering.perturbation.perturbation_type,platform.name,platform,kpn,type,passed
10,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[10, 16, 62, 27, 29, 9, 73, 1]",representation,exynos,mppa_coolidge,audio_filter,center,90.0
10,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[10, 74, 0, 31, 41, 59, 77, 66]",representation,exynos,mppa_coolidge,audio_filter,rand,100.0
10,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[81, 76, 1, 30, 51, 8, 43, 17]",representation,exynos,mppa_coolidge,audio_filter,rand,100.0
10,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[7, 75, 45, 36, 41, 14, 11, 75]",representation,exynos,mppa_coolidge,audio_filter,rand,100.0
10,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[42, 80, 33, 59, 71, 21, 19, 37]",representation,exynos,mppa_coolidge,audio_filter,rand,80.0
10,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[69, 24, 19, 19, 65, 84, 11, 16]",representation,exynos,mppa_coolidge,audio_filter,rand,20.0
10,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[68, 32, 73, 83, 59, 82, 31, 6]",representation,exynos,mppa_coolidge,audio_filter,rand,100.0
10,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[61, 38, 2, 21, 81, 63, 38, 53]",representation,exynos,mppa_coolidge,audio_filter,rand,70.0
10,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[3, 21, 21, 5, 21, 2, 58, 77]",representation,exynos,mppa_coolidge,audio_filter,rand,100.0
10,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[44, 13, 54, 62, 37, 45, 74, 14]",representation,exynos,mppa_coolidge,audio_filter,rand,100.0
10,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[49, 10, 73, 82, 6, 57, 24, 46]",representation,exynos,mppa_coolidge,audio_filter,rand,20.0
5,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[76, 61, 11, 73, 6, 62, 28, 32]",representation,exynos,mppa_coolidge,audio_filter,center,100.0
5,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[79, 59, 39, 22, 46, 82, 0, 73]",representation,exynos,mppa_coolidge,audio_filter,rand,100.0
5,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[48, 39, 39, 33, 70, 16, 10, 62]",representation,exynos,mppa_coolidge,audio_filter,rand,100.0
5,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[15, 67, 45, 46, 78, 45, 74, 8]",representation,exynos,mppa_coolidge,audio_filter,rand,70.0
5,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[59, 76, 56, 16, 68, 26, 73, 40]",representation,exynos,mppa_coolidge,audio_filter,rand,100.0
5,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[31, 62, 63, 12, 18, 12, 41, 30]",representation,exynos,mppa_coolidge,audio_filter,rand,90.0
5,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[6, 57, 63, 4, 6, 65, 68, 62]",representation,exynos,mppa_coolidge,audio_filter,rand,70.0
5,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[47, 30, 19, 4, 35, 40, 58, 19]",representation,exynos,mppa_coolidge,audio_filter,rand,70.0
5,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[49, 18, 51, 75, 71, 26, 9, 3]",representation,exynos,mppa_coolidge,audio_filter,rand,50.0
5,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[78, 54, 66, 49, 30, 83, 41, 38]",representation,exynos,mppa_coolidge,audio_filter,rand,0.0
5,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[9, 3, 48, 83, 83, 54, 48, 36]",representation,exynos,mppa_coolidge,audio_filter,rand,0.0
7,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,5930ms,ERROR,"[62, 70, 57, 26, 59, 53, 61, 65]",representation,exynos,mppa_coolidge,audio_filter,center,100.0
