mapping,random_seed,platform.processor_1.type,passed,type,design_centering.perturbation.perturbation_type,threshold,trace,platform,kpn,representation,log_level,platform.name,platform.processor_0.type
"[9, 15, 64, 27, 30, 6, 73, 1, 42, 36]",10,ARM_CORTEX_A15,100.0,center,representation,14925ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[30, 7, 34, 43, 47, 72, 1, 51, 76, 77]",10,ARM_CORTEX_A15,100.0,rand,representation,14925ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[41, 37, 55, 76, 42, 36, 47, 74, 29, 73]",10,ARM_CORTEX_A15,100.0,rand,representation,14925ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[6, 33, 69, 72, 82, 41, 29, 16, 37, 8]",10,ARM_CORTEX_A15,0.0,rand,representation,14925ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[63, 31, 52, 47, 22, 3, 66, 11, 9, 16]",10,ARM_CORTEX_A15,100.0,rand,representation,14925ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[42, 38, 81, 57, 84, 24, 80, 12, 28, 68]",10,ARM_CORTEX_A15,90.0,rand,representation,14925ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[24, 33, 71, 80, 59, 21, 19, 56, 34, 42]",10,ARM_CORTEX_A15,90.0,rand,representation,14925ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[83, 24, 76, 17, 37, 75, 63, 38, 21, 1]",10,ARM_CORTEX_A15,70.0,rand,representation,14925ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[13, 58, 53, 2, 5, 14, 44, 54, 37, 2]",10,ARM_CORTEX_A15,100.0,rand,representation,14925ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[16, 25, 6, 10, 82, 57, 24, 55, 29, 15]",10,ARM_CORTEX_A15,100.0,rand,representation,14925ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[41, 52, 65, 32, 71, 29, 69, 69, 41, 9]",10,ARM_CORTEX_A15,40.0,rand,representation,14925ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[77, 62, 17, 74, 9, 61, 27, 30, 80, 7]",5,ARM_CORTEX_A15,70.0,center,representation,13343ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[18, 73, 45, 27, 25, 66, 46, 84, 63, 26]",5,ARM_CORTEX_A15,60.0,rand,representation,13343ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[57, 15, 45, 78, 67, 46, 45, 74, 34, 69]",5,ARM_CORTEX_A15,50.0,rand,representation,13343ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[3, 71, 66, 27, 1, 10, 60, 20, 55, 2]",5,ARM_CORTEX_A15,100.0,rand,representation,13343ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[72, 48, 26, 41, 47, 27, 34, 9, 28, 50]",5,ARM_CORTEX_A15,0.0,rand,representation,13343ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[9, 2, 78, 49, 51, 71, 18, 75, 26, 65]",5,ARM_CORTEX_A15,10.0,rand,representation,13343ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[3, 31, 73, 7, 6, 47, 53, 71, 83, 16]",5,ARM_CORTEX_A15,90.0,rand,representation,13343ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[23, 9, 17, 24, 29, 0, 14, 19, 13, 41]",5,ARM_CORTEX_A15,70.0,rand,representation,13343ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[57, 2, 17, 7, 27, 64, 7, 49, 71, 30]",5,ARM_CORTEX_A15,80.0,rand,representation,13343ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[28, 43, 37, 61, 43, 37, 73, 52, 66, 0]",5,ARM_CORTEX_A15,0.0,rand,representation,13343ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[23, 81, 58, 48, 19, 63, 58, 30, 79, 46]",5,ARM_CORTEX_A15,80.0,rand,representation,13343ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[41, 10, 38, 68, 48, 5, 44, 1, 76, 56]",7,ARM_CORTEX_A15,90.0,center,representation,12153ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[21, 20, 11, 46, 16, 70, 11, 21, 36, 26]",7,ARM_CORTEX_A15,50.0,rand,representation,12153ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[70, 63, 23, 19, 40, 76, 25, 31, 83, 49]",7,ARM_CORTEX_A15,40.0,rand,representation,12153ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[10, 79, 23, 53, 18, 27, 18, 7, 57, 33]",7,ARM_CORTEX_A15,40.0,rand,representation,12153ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[19, 34, 51, 39, 4, 75, 9, 59, 13, 64]",7,ARM_CORTEX_A15,0.0,rand,representation,12153ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[8, 45, 11, 25, 57, 46, 80, 80, 48, 71]",7,ARM_CORTEX_A15,0.0,rand,representation,12153ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[47, 1, 47, 49, 54, 35, 84, 31, 65, 50]",7,ARM_CORTEX_A15,100.0,rand,representation,12153ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[47, 68, 35, 60, 31, 83, 2, 82, 32, 76]",7,ARM_CORTEX_A15,0.0,rand,representation,12153ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[84, 43, 26, 76, 41, 23, 26, 70, 52, 27]",7,ARM_CORTEX_A15,90.0,rand,representation,12153ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
