mapper,best_mapping_time,kpn,tgff,platform,estimated_total_time,trace,log_level
static_cfs,10.022949999,tgff_reader,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_1}",mppa_coolidge,0.5479958057403564,tgff_reader,ERROR
static_cfs,3.349883333,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_6}",mppa_coolidge,0.6559948921203613,tgff_reader,ERROR
gbm,737.6470505,tgff_reader,"{file:office-automation-mocsyn.tgff,graph_name:TASK_GRAPH_0}",mppa_coolidge,15.563878774642944,tgff_reader,ERROR
static_cfs,0.024569214,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_8}",exynos,0.41199684143066406,tgff_reader,ERROR
static_cfs,3.525786213,tgff_reader,"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_0}",exynos,0.3999969959259033,tgff_reader,ERROR
gbm,400.0010005,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_7}",mppa_coolidge,14.975884437561035,tgff_reader,ERROR
static_cfs,12.505654999,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_0}",mppa_coolidge,0.6479949951171875,tgff_reader,ERROR
gbm,403.334834333,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_4}",mppa_coolidge,15.331881523132324,tgff_reader,ERROR
gbm,410.837533833,tgff_reader,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_3}",mppa_coolidge,17.511863946914673,tgff_reader,ERROR
static_cfs,0.024569214,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_7}",exynos,0.40799689292907715,tgff_reader,ERROR
static_cfs,13.510933332,tgff_reader,"{file:office-automation-mocsyn.tgff,graph_name:TASK_GRAPH_0}",mppa_coolidge,0.6359951496124268,tgff_reader,ERROR
gbm,408.756951,tgff_reader,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_1}",mppa_coolidge,14.727885484695435,tgff_reader,ERROR
gbm,0.024642857,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_7}",exynos,0.4999961853027344,tgff_reader,ERROR
static_cfs,0.006809857,tgff_reader,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_3}",exynos,0.3919970989227295,tgff_reader,ERROR
gbm,0.015603,tgff_reader,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_0}",exynos,0.49599623680114746,tgff_reader,ERROR
static_cfs,0.01042857,tgff_reader,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_1}",exynos,0.40799665451049805,tgff_reader,ERROR
static_cfs,16.669994165,tgff_reader,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_0}",mppa_coolidge,0.5559957027435303,tgff_reader,ERROR
gbm,413.372883833,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_2}",mppa_coolidge,19.86784529685974,tgff_reader,ERROR
gbm,400.0010005,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_5}",mppa_coolidge,14.76788592338562,tgff_reader,ERROR
gbm,3902.348746666,tgff_reader,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_2}",mppa_coolidge,16.663870334625244,tgff_reader,ERROR
gbm,0.0080765,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_3}",exynos,0.4479963779449463,tgff_reader,ERROR
static_cfs,14.206421665,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_1}",mppa_coolidge,0.5359957218170166,tgff_reader,ERROR
gbm,7397.628001,tgff_reader,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_3}",mppa_coolidge,14.059890747070312,tgff_reader,ERROR
gbm,438.8527615,tgff_reader,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_2}",mppa_coolidge,17.987860202789307,tgff_reader,ERROR
gbm,413.372883833,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_1}",mppa_coolidge,19.635847091674805,tgff_reader,ERROR
static_cfs,0.057150499,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_1}",exynos,0.3999969959259033,tgff_reader,ERROR
static_cfs,3.349883333,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_5}",mppa_coolidge,0.5319957733154297,tgff_reader,ERROR
static_cfs,3.349883333,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_7}",mppa_coolidge,0.5319957733154297,tgff_reader,ERROR
static_cfs,14.206421665,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_2}",mppa_coolidge,0.5399956703186035,tgff_reader,ERROR
static_cfs,10.028099999,tgff_reader,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_2}",mppa_coolidge,0.6639947891235352,tgff_reader,ERROR
gbm,0.037469,tgff_reader,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_2}",exynos,0.5399959087371826,tgff_reader,ERROR
gbm,400.0010005,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_8}",mppa_coolidge,14.99588418006897,tgff_reader,ERROR
static_cfs,0.010714286,tgff_reader,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_0}",exynos,0.4239969253540039,tgff_reader,ERROR
static_cfs,3.349883333,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_8}",mppa_coolidge,0.5399959087371826,tgff_reader,ERROR
static_cfs,0.057150499,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_2}",exynos,0.3999967575073242,tgff_reader,ERROR
gbm,411.2554505,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_0}",mppa_coolidge,16.967867851257324,tgff_reader,ERROR
