ue	rb	rxAnt	layer	carrier	Start	FFT	ChanEqlz	IDFT	QamDemod	Decode	ChanEst	ChanInv	est	matrixInv	inv	eqlz	demod
10	100	1	1	1	1	14	10	120	120	10	10	10	2500	0	100	14400	43200
10	100	1	1	2	1	28	10	120	120	10	10	10	4900	0	196	28224	84672
10	100	1	1	3	1	42	10	120	120	10	10	10	7400	0	296	42624	127872
10	100	1	1	4	1	56	10	120	120	10	10	10	9900	0	396	57024	171072
10	100	1	2	1	1	14	10	120	120	10	10	10	2500	0	100	14400	43200
10	100	1	2	2	1	28	10	120	120	10	10	10	4900	0	196	28224	84672
10	100	1	2	3	1	42	10	120	120	10	10	10	7400	0	296	42624	127872
10	100	1	2	4	1	56	10	120	120	10	10	10	9900	0	396	57024	171072
10	100	1	3	1	1	14	10	120	120	10	10	10	2500	0	100	14400	43200
10	100	1	3	2	1	28	10	120	120	10	10	10	4900	0	196	28224	84672
10	100	1	3	3	1	42	10	120	120	10	10	10	7400	0	296	42624	127872
10	100	1	3	4	1	56	10	120	120	10	10	10	9900	0	396	57024	171072
10	100	1	4	1	1	14	10	120	120	10	10	10	2500	0	100	14400	43200
10	100	1	4	2	1	28	10	120	120	10	10	10	4900	0	196	28224	84672
10	100	1	4	3	1	42	10	120	120	10	10	10	7400	0	296	42624	127872
10	100	1	4	4	1	56	10	120	120	10	10	10	9900	0	396	57024	171072
10	100	2	1	1	1	28	10	120	120	10	10	10	5000	0	100	28800	43200
10	100	2	1	2	1	56	10	120	120	10	10	10	9800	0	196	56448	84672
10	100	2	1	3	1	84	10	120	120	10	10	10	14800	0	296	85248	127872
10	100	2	1	4	1	112	10	120	120	10	10	10	19800	0	396	114048	171072
10	100	2	2	1	1	28	10	240	240	10	10	10	10000	400	800	57600	86400
10	100	2	2	2	1	56	10	240	240	10	10	10	19600	784	1568	112896	169344
10	100	2	2	3	1	84	10	240	240	10	10	10	29600	1184	2368	170496	255744
10	100	2	2	4	1	112	10	240	240	10	10	10	39600	1584	3168	228096	342144
10	100	2	3	1	1	28	10	240	240	10	10	10	10000	400	800	57600	86400
10	100	2	3	2	1	56	10	240	240	10	10	10	19600	784	1568	112896	169344
10	100	2	3	3	1	84	10	240	240	10	10	10	29600	1184	2368	170496	255744
10	100	2	3	4	1	112	10	240	240	10	10	10	39600	1584	3168	228096	342144
10	100	2	4	1	1	28	10	240	240	10	10	10	10000	400	800	57600	86400
10	100	2	4	2	1	56	10	240	240	10	10	10	19600	784	1568	112896	169344
10	100	2	4	3	1	84	10	240	240	10	10	10	29600	1184	2368	170496	255744
10	100	2	4	4	1	112	10	240	240	10	10	10	39600	1584	3168	228096	342144
10	100	3	1	1	1	42	10	120	120	10	10	10	7500	0	100	43200	43200
10	100	3	1	2	1	84	10	120	120	10	10	10	14700	0	196	84672	84672
10	100	3	1	3	1	126	10	120	120	10	10	10	22200	0	296	127872	127872
10	100	3	1	4	1	168	10	120	120	10	10	10	29700	0	396	171072	171072
10	100	3	2	1	1	42	10	240	240	10	10	10	15000	400	1100	86400	86400
10	100	3	2	2	1	84	10	240	240	10	10	10	29400	784	2156	169344	169344
10	100	3	2	3	1	126	10	240	240	10	10	10	44400	1184	3256	255744	255744
10	100	3	2	4	1	168	10	240	240	10	10	10	59400	1584	4356	342144	342144
10	100	3	3	1	1	42	10	360	360	10	10	10	22500	1500	3000	129600	129600
10	100	3	3	2	1	84	10	360	360	10	10	10	44100	2940	5880	254016	254016
10	100	3	3	3	1	126	10	360	360	10	10	10	66600	4440	8880	383616	383616
10	100	3	3	4	1	168	10	360	360	10	10	10	89100	5940	11880	513216	513216
10	100	3	4	1	1	42	10	360	360	10	10	10	22500	1500	3000	129600	129600
10	100	3	4	2	1	84	10	360	360	10	10	10	44100	2940	5880	254016	254016
10	100	3	4	3	1	126	10	360	360	10	10	10	66600	4440	8880	383616	383616
10	100	3	4	4	1	168	10	360	360	10	10	10	89100	5940	11880	513216	513216
10	100	4	1	1	1	56	10	120	120	10	10	10	10000	0	100	57600	43200
10	100	4	1	2	1	112	10	120	120	10	10	10	19600	0	196	112896	84672
10	100	4	1	3	1	168	10	120	120	10	10	10	29600	0	296	170496	127872
10	100	4	1	4	1	224	10	120	120	10	10	10	39600	0	396	228096	171072
10	100	4	2	1	1	56	10	240	240	10	10	10	20000	400	1400	115200	86400
10	100	4	2	2	1	112	10	240	240	10	10	10	39200	784	2744	225792	169344
10	100	4	2	3	1	168	10	240	240	10	10	10	59200	1184	4144	340992	255744
10	100	4	2	4	1	224	10	240	240	10	10	10	79200	1584	5544	456192	342144
10	100	4	3	1	1	56	10	360	360	10	10	10	30000	1500	3900	172800	129600
10	100	4	3	2	1	112	10	360	360	10	10	10	58800	2940	7644	338688	254016
10	100	4	3	3	1	168	10	360	360	10	10	10	88800	4440	11544	511488	383616
10	100	4	3	4	1	224	10	360	360	10	10	10	118800	5940	15444	684288	513216
10	100	4	4	1	1	56	10	480	480	10	10	10	40000	3600	7600	230400	172800
10	100	4	4	2	1	112	10	480	480	10	10	10	78400	7056	14896	451584	338688
10	100	4	4	3	1	168	10	480	480	10	10	10	118400	10656	22496	681984	511488
10	100	4	4	4	1	224	10	480	480	10	10	10	158400	14256	30096	912384	684288
10	75	1	1	1	1	14	10	120	120	10	10	10	1750	0	70	10080	30240
10	75	1	1	2	1	28	10	120	120	10	10	10	3600	0	144	20736	62208
10	75	1	1	3	1	42	10	120	120	10	10	10	5500	0	220	31680	95040
10	75	1	1	4	1	56	10	120	120	10	10	10	7400	0	296	42624	127872
10	75	1	2	1	1	14	10	120	120	10	10	10	1750	0	70	10080	30240
10	75	1	2	2	1	28	10	120	120	10	10	10	3600	0	144	20736	62208
10	75	1	2	3	1	42	10	120	120	10	10	10	5500	0	220	31680	95040
10	75	1	2	4	1	56	10	120	120	10	10	10	7400	0	296	42624	127872
10	75	1	3	1	1	14	10	120	120	10	10	10	1750	0	70	10080	30240
10	75	1	3	2	1	28	10	120	120	10	10	10	3600	0	144	20736	62208
10	75	1	3	3	1	42	10	120	120	10	10	10	5500	0	220	31680	95040
10	75	1	3	4	1	56	10	120	120	10	10	10	7400	0	296	42624	127872
10	75	1	4	1	1	14	10	120	120	10	10	10	1750	0	70	10080	30240
10	75	1	4	2	1	28	10	120	120	10	10	10	3600	0	144	20736	62208
10	75	1	4	3	1	42	10	120	120	10	10	10	5500	0	220	31680	95040
10	75	1	4	4	1	56	10	120	120	10	10	10	7400	0	296	42624	127872
10	75	2	1	1	1	28	10	120	120	10	10	10	3500	0	70	20160	30240
10	75	2	1	2	1	56	10	120	120	10	10	10	7200	0	144	41472	62208
10	75	2	1	3	1	84	10	120	120	10	10	10	11000	0	220	63360	95040
10	75	2	1	4	1	112	10	120	120	10	10	10	14800	0	296	85248	127872
10	75	2	2	1	1	28	10	240	240	10	10	10	7000	280	560	40320	60480
10	75	2	2	2	1	56	10	240	240	10	10	10	14400	576	1152	82944	124416
10	75	2	2	3	1	84	10	240	240	10	10	10	22000	880	1760	126720	190080
10	75	2	2	4	1	112	10	240	240	10	10	10	29600	1184	2368	170496	255744
10	75	2	3	1	1	28	10	240	240	10	10	10	7000	280	560	40320	60480
10	75	2	3	2	1	56	10	240	240	10	10	10	14400	576	1152	82944	124416
10	75	2	3	3	1	84	10	240	240	10	10	10	22000	880	1760	126720	190080
10	75	2	3	4	1	112	10	240	240	10	10	10	29600	1184	2368	170496	255744
10	75	2	4	1	1	28	10	240	240	10	10	10	7000	280	560	40320	60480
