"","number_of_ues","rb","rb_per_ue","count"
"1",1,1,1,1393
"2",1,2,2,1086
"3",1,3,3,1192
"4",1,4,4,708132
"5",1,5,5,1979
"6",1,6,6,3707
"7",1,7,4,2
"8",1,7,7,8006
"9",1,8,8,70423
"10",1,9,9,22492
"11",1,10,6,1
"12",1,10,10,28389
"13",1,11,9,1
"14",1,11,11,34596
"15",1,12,12,81214
"16",1,13,9,2
"17",1,13,13,20759
"18",1,14,10,6
"19",1,14,14,13663
"20",1,15,11,7
"21",1,15,15,7042
"22",1,16,12,6
"23",1,16,16,34019
"24",1,17,13,1
"25",1,17,17,1813
"26",1,18,18,998
"27",1,19,10,1
"28",1,19,11,3
"29",1,19,15,1
"30",1,19,19,969
"31",1,20,20,33970
"32",1,21,21,1158
"33",1,22,22,1160
"34",1,23,23,1098
"35",1,24,14,3
"36",1,24,24,13144
"37",1,25,21,1
"38",1,25,25,1149
"39",1,26,26,1107
"40",1,27,23,2
"41",1,27,27,1619
"42",1,28,24,3
"43",1,28,28,29781
"44",1,29,20,1
"45",1,29,29,980
"46",1,30,18,1
"47",1,30,20,1
"48",1,30,30,1216
"49",1,31,27,1
"50",1,31,31,1064
"51",1,32,20,1
"52",1,32,28,5
"53",1,32,32,16648
"54",1,33,33,1110
"55",1,34,25,1
"56",1,34,30,1
"57",1,34,34,1199
"58",1,35,31,1
"59",1,35,35,1734
"60",1,36,20,1
"61",1,36,32,3
"62",1,36,36,37146
"63",1,37,37,2057
"64",1,38,38,1081
"65",1,39,39,2144
"66",1,40,36,2
"67",1,40,40,26901
"68",1,41,41,1196
"69",1,42,38,1
"70",1,42,42,416
"71",1,43,39,1
"72",1,43,43,399
"73",1,44,24,1
"74",1,44,28,1
"75",1,44,31,1
"76",1,44,40,3
"77",1,44,44,44162
"78",1,45,41,1
"79",1,45,45,317
"80",1,46,24,1
"81",1,46,46,315
"82",1,47,47,785
"83",1,48,44,3
"84",1,48,48,43017
"85",1,49,49,460
"86",1,50,28,1
"87",1,50,36,1
"88",1,50,50,531
"89",1,51,51,304
"90",1,52,32,1
"91",1,52,48,4
"92",1,52,52,43459
"93",1,53,53,266
"94",1,54,54,523
"95",1,55,55,254
"96",1,56,48,1
"97",1,56,52,6
"98",1,56,56,39239
"99",1,57,44,1
"100",1,57,57,277
"101",1,58,54,1
"102",1,58,58,216
"103",1,59,48,1
"104",1,59,59,358
"105",1,60,44,1
"106",1,60,48,1
"107",1,60,56,1
"108",1,60,60,31215
"109",1,61,48,1
"110",1,61,61,320
"111",1,62,62,321
"112",1,63,63,365
"113",1,64,36,1
"114",1,64,60,4
"115",1,64,64,20847
"116",1,65,61,2
"117",1,65,65,366
"118",1,66,66,290
"119",1,67,67,238
"120",1,68,64,4
"121",1,68,68,16967
"122",1,69,69,265
"123",1,70,60,1
"124",1,70,70,536
"125",1,71,60,1
"126",1,71,67,1
"127",1,71,71,571
"128",1,72,44,1
"129",1,72,68,1
"130",1,72,72,9556
"131",1,73,60,1
"132",1,73,73,315
"133",1,74,74,487
"134",1,75,75,277
"135",1,76,52,1
"136",1,76,72,4
"137",1,76,76,10555
"138",1,77,64,1
"139",1,77,77,408
"140",1,78,78,219
"141",1,79,79,166
"142",1,80,48,1
"143",1,80,64,1
"144",1,80,80,15046
"145",1,81,81,147
"146",1,82,68,1
"147",1,82,82,179
"148",1,83,83,84
"149",1,84,60,1
"150",1,84,64,2
"151",1,84,72,1
"152",1,84,84,34159
"153",1,85,56,1
"154",1,85,85,95
"155",1,86,86,63
"156",1,87,87,679
"157",1,88,44,1
"158",1,88,52,1
"159",1,88,84,1
"160",1,88,88,19558
"161",1,89,80,1
"162",1,89,89,41
"163",1,90,90,43
"164",1,91,91,67
"165",1,92,60,1
"166",1,92,64,1
"167",1,92,80,1
"168",1,92,84,1
"169",1,92,88,1
"170",1,92,92,129099
"171",1,93,93,29
"172",1,94,94,18
"173",1,95,95,16
"174",1,96,88,1
"175",1,96,96,22399
"176",1,97,84,1
"177",1,97,97,25
"178",1,98,88,1
"179",1,98,98,6
"180",1,99,99,6
"181",1,100,100,204050
"182",1,102,92,1
"183",1,104,84,1
"184",1,105,92,1
"185",1,107,96,1
"186",1,109,100,1
"187",1,110,100,2
"188",1,112,68,1
"189",1,112,88,1
"190",1,112,100,3
"191",1,114,84,1
"192",1,114,100,1
