platform.processor_1.type,log_level,trace,kpn,mapper,platform.name,representation,platform,estimated_total_time,best_mapping_time,platform.processor_0.type,mapper.random_seed
ARM_CORTEX_A15,ERROR,slx_default,hog,gradient_descent,exynos,SymmetryEmbedding,mppa_coolidge,1263.3992393016815,2729.396304609,ARM_CORTEX_A7,9
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,tabu_search,exynos,SymmetryEmbedding,exynos,26.279739379882812,21.131664198,ARM_CORTEX_A7,10
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,genetic,exynos,Symmetries,exynos,18.24781584739685,19.410747185,ARM_CORTEX_A7,7
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,random_walk,exynos,MetricSpaceEmbedding,mppa_coolidge,10.091997861862183,30964.172203969,ARM_CORTEX_A7,6
ARM_CORTEX_A15,ERROR,slx_default,hog,gradient_descent,exynos,SimpleVector,exynos,11.515911102294922,683.193669117,ARM_CORTEX_A7,4
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,tabu_search,exynos,SymmetryEmbedding,mppa_coolidge,604.7432057857513,5210.657489999,ARM_CORTEX_A7,8
ARM_CORTEX_A15,ERROR,slx_default,hog,tabu_search,exynos,MetricSpaceEmbedding,mppa_coolidge,17.419862747192383,7690.095335316,ARM_CORTEX_A7,7
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,random_walk,exynos,MetricSpaceEmbedding,exynos,2.0479841232299805,20.758559,ARM_CORTEX_A7,2
ARM_CORTEX_A15,ERROR,slx_default,hog,simulated_annealing,exynos,SymmetryEmbedding,exynos,18.411844730377197,608.484412999,ARM_CORTEX_A7,5
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,tabu_search,exynos,SymmetryEmbedding,exynos,6.88794207572937,36.877529713,ARM_CORTEX_A7,6
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,simulated_annealing,exynos,MetricSpaceEmbedding,exynos,60.215487003326416,30.94222686,ARM_CORTEX_A7,5
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,gradient_descent,exynos,MetricSpaceEmbedding,mppa_coolidge,1025.9650123119354,1988.011599592,ARM_CORTEX_A7,8
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,tabu_search,exynos,SimpleVector,mppa_coolidge,6.087952136993408,7412.257698999,ARM_CORTEX_A7,7
ARM_CORTEX_A15,ERROR,slx_default,hog,tabu_search,exynos,Symmetries,mppa_coolidge,5.735954761505127,10217.088628157,ARM_CORTEX_A7,2
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,random_walk,exynos,SimpleVector,mppa_coolidge,3.763969659805298,7816.372543833,ARM_CORTEX_A7,8
ARM_CORTEX_A15,ERROR,slx_default,hog,genetic,exynos,MetricSpaceEmbedding,mppa_coolidge,90.4754388332367,4582.883333995,ARM_CORTEX_A7,1
ARM_CORTEX_A15,ERROR,slx_default,hog,tabu_search,exynos,MetricSpaceEmbedding,mppa_coolidge,18.695852994918823,9098.872850652,ARM_CORTEX_A7,1
ARM_CORTEX_A15,ERROR,slx_default,hog,gradient_descent,exynos,Symmetries,exynos,13.459891080856323,573.980970355,ARM_CORTEX_A7,6
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,tabu_search,exynos,Symmetries,mppa_coolidge,3.3199737071990967,7516.560200166,ARM_CORTEX_A7,3
ARM_CORTEX_A15,ERROR,slx_default,hog,gradient_descent,exynos,SimpleVector,exynos,17.82386302947998,755.093941893,ARM_CORTEX_A7,2
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,tabu_search,exynos,MetricSpaceEmbedding,mppa_coolidge,13.135896444320679,4041.292543832,ARM_CORTEX_A7,7
ARM_CORTEX_A15,ERROR,slx_default,hog,random_walk,exynos,SimpleVector,mppa_coolidge,5.05996561050415,11371.090091336,ARM_CORTEX_A7,4
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,simulated_annealing,exynos,Symmetries,mppa_coolidge,634.3546009063721,20966.883788812,ARM_CORTEX_A7,9
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,random_walk,exynos,SymmetryEmbedding,exynos,1.9799845218658447,27.130621643,ARM_CORTEX_A7,7
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,gradient_descent,exynos,SimpleVector,mppa_coolidge,5.503966331481934,400.773757304,ARM_CORTEX_A7,5
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,gradient_descent,exynos,MetricSpaceEmbedding,exynos,153.33089447021484,33.348073063,ARM_CORTEX_A7,3
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,tabu_search,exynos,SymmetryEmbedding,mppa_coolidge,611.3711655139923,4046.155789662,ARM_CORTEX_A7,10
ARM_CORTEX_A15,ERROR,slx_default,hog,random_walk,exynos,MetricSpaceEmbedding,mppa_coolidge,6.859952449798584,8947.377358336,ARM_CORTEX_A7,7
ARM_CORTEX_A15,ERROR,slx_default,hog,simulated_annealing,exynos,MetricSpaceEmbedding,mppa_coolidge,927.700670003891,6039.196110328,ARM_CORTEX_A7,2
ARM_CORTEX_A15,ERROR,slx_default,hog,simulated_annealing,exynos,SimpleVector,exynos,7.867930173873901,508.4978905,ARM_CORTEX_A7,6
ARM_CORTEX_A15,ERROR,slx_default,hog,random_walk,exynos,MetricSpaceEmbedding,exynos,4.255967855453491,607.736691163,ARM_CORTEX_A7,9
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,genetic,exynos,MetricSpaceEmbedding,exynos,36.09570503234863,18.32872138,ARM_CORTEX_A7,2
ARM_CORTEX_A15,ERROR,slx_default,hog,simulated_annealing,exynos,MetricSpaceEmbedding,mppa_coolidge,1293.8617837429047,6796.062836152,ARM_CORTEX_A7,8
ARM_CORTEX_A15,ERROR,slx_default,hog,gradient_descent,exynos,SimpleVector,mppa_coolidge,28.163774013519287,3997.520037466,ARM_CORTEX_A7,10
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,genetic,exynos,SymmetryEmbedding,exynos,35.47965335845947,22.699483925,ARM_CORTEX_A7,1
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,gradient_descent,exynos,Symmetries,mppa_coolidge,15.59184217453003,650.084055451,ARM_CORTEX_A7,5
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,tabu_search,exynos,MetricSpaceEmbedding,exynos,7.043946981430054,19.792893643,ARM_CORTEX_A7,9
ARM_CORTEX_A15,ERROR,slx_default,hog,gradient_descent,exynos,Symmetries,mppa_coolidge,12.635907411575317,1123.0780895,ARM_CORTEX_A7,2
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,simulated_annealing,exynos,Symmetries,mppa_coolidge,32.95173525810242,5160.772046833,ARM_CORTEX_A7,4
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,random_walk,exynos,SymmetryEmbedding,exynos,2.0959837436676025,19.284069013,ARM_CORTEX_A7,3
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,genetic,exynos,Symmetries,mppa_coolidge,4.531963348388672,82.860957829,ARM_CORTEX_A7,8
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,random_walk,exynos,SimpleVector,mppa_coolidge,9.00792384147644,35719.741823516,ARM_CORTEX_A7,5
ARM_CORTEX_A15,ERROR,slx_default,hog,genetic,exynos,Symmetries,mppa_coolidge,6.979948043823242,1155.491322822,ARM_CORTEX_A7,9
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,simulated_annealing,exynos,SymmetryEmbedding,exynos,58.09554719924927,36.995651856,ARM_CORTEX_A7,8
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,simulated_annealing,exynos,SymmetryEmbedding,exynos,66.57559061050415,21.16245057,ARM_CORTEX_A7,10
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,tabu_search,exynos,Symmetries,exynos,29.971758127212524,30.849252912,ARM_CORTEX_A7,9
ARM_CORTEX_A15,ERROR,slx_default,hog,genetic,exynos,SimpleVector,mppa_coolidge,6.10796332359314,9777.938384662,ARM_CORTEX_A7,8
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,simulated_annealing,exynos,SymmetryEmbedding,mppa_coolidge,2411.661554336548,27315.816172999,ARM_CORTEX_A7,5
ARM_CORTEX_A15,ERROR,slx_default,hog,tabu_search,exynos,MetricSpaceEmbedding,mppa_coolidge,18.671853065490723,8875.527191825,ARM_CORTEX_A7,5
ARM_CORTEX_A15,ERROR,slx_default,hog,random_walk,exynos,Symmetries,mppa_coolidge,5.619960784912109,8513.490941,ARM_CORTEX_A7,9
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,tabu_search,exynos,SimpleVector,mppa_coolidge,26.61979341506958,52665.111963,ARM_CORTEX_A7,3
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,gradient_descent,exynos,Symmetries,exynos,3.7119712829589844,33.930048714,ARM_CORTEX_A7,1
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,gradient_descent,exynos,MetricSpaceEmbedding,mppa_coolidge,254.58990716934204,372.701541635,ARM_CORTEX_A7,9
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,tabu_search,exynos,SimpleVector,exynos,37.7156765460968,21.17303742,ARM_CORTEX_A7,5
ARM_CORTEX_A15,ERROR,slx_default,hog,random_walk,exynos,SimpleVector,mppa_coolidge,5.447962760925293,8707.976596667,ARM_CORTEX_A7,1
ARM_CORTEX_A15,ERROR,slx_default,hog,random_walk,exynos,SimpleVector,mppa_coolidge,5.447962760925293,8947.377358336,ARM_CORTEX_A7,7
ARM_CORTEX_A15,ERROR,slx_default,hog,tabu_search,exynos,SymmetryEmbedding,mppa_coolidge,614.1838960647583,6567.56899883,ARM_CORTEX_A7,8
ARM_CORTEX_A15,ERROR,slx_default,hog,genetic,exynos,SymmetryEmbedding,exynos,24.871716499328613,642.81459575,ARM_CORTEX_A7,5
ARM_CORTEX_A15,ERROR,slx_default,hog,simulated_annealing,exynos,SymmetryEmbedding,exynos,34.18377423286438,733.988841049,ARM_CORTEX_A7,7
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,tabu_search,exynos,SymmetryEmbedding,exynos,6.707943677902222,18.733034858,ARM_CORTEX_A7,5
ARM_CORTEX_A15,ERROR,slx_default,hog,gradient_descent,exynos,MetricSpaceEmbedding,exynos,89.17928504943848,720.799507906,ARM_CORTEX_A7,6
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,tabu_search,exynos,SymmetryEmbedding,mppa_coolidge,635.0992455482483,27517.935967332,ARM_CORTEX_A7,4
ARM_CORTEX_A15,ERROR,slx_default,hog,simulated_annealing,exynos,Symmetries,mppa_coolidge,69.22742199897766,9458.250910323,ARM_CORTEX_A7,6
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,gradient_descent,exynos,SymmetryEmbedding,mppa_coolidge,873.8046109676361,372.701541635,ARM_CORTEX_A7,8
ARM_CORTEX_A15,ERROR,slx_default,hog,simulated_annealing,exynos,Symmetries,mppa_coolidge,55.67152380943298,7898.92744765,ARM_CORTEX_A7,1
ARM_CORTEX_A15,ERROR,slx_default,hog,random_walk,exynos,SymmetryEmbedding,exynos,4.735963821411133,581.976651535,ARM_CORTEX_A7,3
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,tabu_search,exynos,SimpleVector,mppa_coolidge,32.839743852615356,45157.297115318,ARM_CORTEX_A7,5
ARM_CORTEX_A15,ERROR,slx_default,hog,tabu_search,exynos,MetricSpaceEmbedding,exynos,15.787844181060791,721.01800668,ARM_CORTEX_A7,3
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,random_walk,exynos,SimpleVector,mppa_coolidge,9.5919189453125,28092.326981858,ARM_CORTEX_A7,10
ARM_CORTEX_A15,ERROR,slx_default,hog,gradient_descent,exynos,Symmetries,exynos,11.00791072845459,831.229408188,ARM_CORTEX_A7,4
ARM_CORTEX_A15,ERROR,slx_default,hog,gradient_descent,exynos,SymmetryEmbedding,exynos,64.0194799900055,657.081482,ARM_CORTEX_A7,3
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,random_walk,exynos,Symmetries,mppa_coolidge,4.251965761184692,4313.009001496,ARM_CORTEX_A7,1
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,random_walk,exynos,Symmetries,exynos,9.019940376281738,21.204210399,ARM_CORTEX_A7,5
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,tabu_search,exynos,MetricSpaceEmbedding,exynos,6.235953092575073,18.733034858,ARM_CORTEX_A7,5
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,gradient_descent,exynos,SymmetryEmbedding,mppa_coolidge,1625.0013525485992,1988.011599592,ARM_CORTEX_A7,3
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,tabu_search,exynos,SymmetryEmbedding,mppa_coolidge,606.4152414798737,5131.106570666,ARM_CORTEX_A7,2
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,gradient_descent,exynos,Symmetries,mppa_coolidge,21.227787971496582,931.470808943,ARM_CORTEX_A7,7
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,gradient_descent,exynos,Symmetries,exynos,24.45578694343567,31.314490054,ARM_CORTEX_A7,5
ARM_CORTEX_A15,ERROR,slx_default,hog,simulated_annealing,exynos,Symmetries,exynos,35.331700801849365,490.844959308,ARM_CORTEX_A7,3
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,genetic,exynos,SymmetryEmbedding,mppa_coolidge,653.4499716758728,4235.128566663,ARM_CORTEX_A7,4
ARM_CORTEX_A15,ERROR,slx_default,hog,random_walk,exynos,MetricSpaceEmbedding,exynos,4.307967662811279,593.883032687,ARM_CORTEX_A7,1
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,tabu_search,exynos,MetricSpaceEmbedding,mppa_coolidge,38.69569230079651,27517.935967332,ARM_CORTEX_A7,4
ARM_CORTEX_A15,ERROR,slx_default,hog,tabu_search,exynos,Symmetries,mppa_coolidge,5.855953931808472,10363.153815825,ARM_CORTEX_A7,4
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,gradient_descent,exynos,SymmetryEmbedding,mppa_coolidge,871.1687428951263,372.701541635,ARM_CORTEX_A7,6
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,simulated_annealing,exynos,Symmetries,exynos,40.455662965774536,30.767755106,ARM_CORTEX_A7,4
ARM_CORTEX_A15,ERROR,slx_default,hog,tabu_search,exynos,SymmetryEmbedding,exynos,16.567847728729248,708.418477142,ARM_CORTEX_A7,2
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,random_walk,exynos,MetricSpaceEmbedding,mppa_coolidge,10.627991437911987,28092.326981858,ARM_CORTEX_A7,10
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,random_walk,exynos,Symmetries,mppa_coolidge,3.691970109939575,4270.60658483,ARM_CORTEX_A7,2
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,genetic,exynos,SimpleVector,exynos,18.863863229751587,19.356903674,ARM_CORTEX_A7,4
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,gradient_descent,exynos,MetricSpaceEmbedding,exynos,24.371811628341675,36.763306,ARM_CORTEX_A7,7
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,simulated_annealing,exynos,SymmetryEmbedding,exynos,100.23540568351746,30.849675981,ARM_CORTEX_A7,9
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,random_walk,exynos,SymmetryEmbedding,mppa_coolidge,614.4813506603241,43055.8327398,ARM_CORTEX_A7,1
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,random_walk,exynos,SymmetryEmbedding,mppa_coolidge,597.019778251648,5626.238385,ARM_CORTEX_A7,5
ARM_CORTEX_A15,ERROR,slx_default,hog,genetic,exynos,SimpleVector,exynos,8.403936386108398,564.643953474,ARM_CORTEX_A7,2
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,simulated_annealing,exynos,MetricSpaceEmbedding,mppa_coolidge,821.8209292888641,3842.847262329,ARM_CORTEX_A7,4
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,genetic,exynos,MetricSpaceEmbedding,mppa_coolidge,102.82317781448364,35218.3635183,ARM_CORTEX_A7,7
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,tabu_search,exynos,MetricSpaceEmbedding,mppa_coolidge,37.71969699859619,35215.092594634,ARM_CORTEX_A7,10
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,gradient_descent,exynos,Symmetries,exynos,3.015976667404175,33.852894143,ARM_CORTEX_A7,6
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,tabu_search,exynos,MetricSpaceEmbedding,mppa_coolidge,33.51573157310486,27615.607765333,ARM_CORTEX_A7,8
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,tabu_search,exynos,Symmetries,exynos,39.423678159713745,19.930235375,ARM_CORTEX_A7,1
ARM_CORTEX_A15,ERROR,slx_default,hog,gradient_descent,exynos,MetricSpaceEmbedding,exynos,97.59122037887573,915.519175049,ARM_CORTEX_A7,5
ARM_CORTEX_A15,ERROR,slx_default,hog,tabu_search,exynos,MetricSpaceEmbedding,mppa_coolidge,17.227864265441895,6567.56899883,ARM_CORTEX_A7,8
ARM_CORTEX_A15,ERROR,slx_default,hog,random_walk,exynos,SimpleVector,exynos,4.283967971801758,626.02719165,ARM_CORTEX_A7,10
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,gradient_descent,exynos,Symmetries,exynos,3.37597393989563,33.922370857,ARM_CORTEX_A7,2
ARM_CORTEX_A15,ERROR,slx_default,hog,simulated_annealing,exynos,Symmetries,exynos,29.71574854850769,587.13543,ARM_CORTEX_A7,4
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,gradient_descent,exynos,SymmetryEmbedding,mppa_coolidge,1636.071939945221,1988.011599592,ARM_CORTEX_A7,5
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,gradient_descent,exynos,MetricSpaceEmbedding,mppa_coolidge,260.2220675945282,372.701541635,ARM_CORTEX_A7,5
ARM_CORTEX_A15,ERROR,slx_default,hog,random_walk,exynos,MetricSpaceEmbedding,mppa_coolidge,6.527955055236816,8002.742836166,ARM_CORTEX_A7,2
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,gradient_descent,exynos,SymmetryEmbedding,exynos,119.89510440826416,32.117194973,ARM_CORTEX_A7,9
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,tabu_search,exynos,SimpleVector,mppa_coolidge,24.455807209014893,60207.582513666,ARM_CORTEX_A7,10
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,genetic,exynos,Symmetries,exynos,3.691972494125366,19.857511786,ARM_CORTEX_A7,3
