year,watts,transistors,specint,frequency,cores
1971.875,0.445079406236,2.30824152676,NA,0.704135515486,1
1972.30769231,0.421696503429,3.55452235561,NA,NA,NA
1974.32692308,0.922239565104,6.09756235221,NA,2.01691455473,NA
1979.56730769,1.71543789634,29.1637757405,NA,5.04806571667,NA
1982.30769231,3.02321302502,135.772714211,NA,6.09756235221,1
1985.91346154,1.53992652606,273.841963426,NA,16.1076153462,1
1986.25,3.02321302502,109.411381058,NA,16.1076153462,1
1988.65384615,3.95964498892,121.881418484,83.5362546958,40.3151936286,1
1989.47115385,2.78812666541,1207.90074743,50.0286461058,24.8045441431,1
1990.57692308,3.45989166087,1207.90074743,NA,33.3762469429,1
1992.40384615,5.9352292723,1207.90074743,90.5797775943,65.5248823737,NA
1992.69230769,14.4595990307,3105.90022362,177.827941004,60.4296390238,1
1992.69230769,14.4595990307,3105.90022362,177.827941004,100.903504484,1
1992.69230769,14.4595990307,3105.90022362,273.841963426,60.4296390238,1
1992.69230769,14.4595990307,3105.90022362,273.841963426,100.903504484,1
1992.69230769,14.4595990307,1113.97385999,177.827941004,60.4296390238,1
1992.69230769,14.4595990307,1113.97385999,177.827941004,100.903504484,1
1992.69230769,14.4595990307,1113.97385999,273.841963426,60.4296390238,1
1992.69230769,14.4595990307,1113.97385999,273.841963426,100.903504484,1
1993.02884615,35.2269465147,1715.43789634,321.967844425,198.095677855,NA
1993.41346154,3.02321302502,3105.90022362,239.279917343,67.3170382414,1
1993.41346154,3.02321302502,3105.90022362,239.279917343,40.3151936286,1
1993.41346154,3.02321302502,922.239565104,239.279917343,67.3170382414,1
1993.41346154,3.02321302502,922.239565104,239.279917343,40.3151936286,1
1993.41346154,13.3352143216,3105.90022362,239.279917343,67.3170382414,1
1993.41346154,13.3352143216,3105.90022362,239.279917343,40.3151936286,1
1993.41346154,13.3352143216,922.239565104,239.279917343,67.3170382414,1
1993.41346154,13.3352143216,922.239565104,239.279917343,40.3151936286,1
1994.71153846,28.3873596476,1910.95297497,NA,151.247254531,1
1994.71153846,28.3873596476,1910.95297497,NA,296.93148482,1
1994.71153846,28.3873596476,2788.12666541,NA,151.247254531,1
1994.71153846,28.3873596476,2788.12666541,NA,296.93148482,1
1994.71153846,3.02321302502,1910.95297497,NA,151.247254531,1
1994.71153846,3.02321302502,1910.95297497,NA,296.93148482,1
1994.71153846,3.02321302502,2788.12666541,NA,151.247254531,1
1994.71153846,3.02321302502,2788.12666541,NA,296.93148482,1
1995.43269231,50.0286461058,9646.61619911,1027.35076818,296.93148482,1
1995.72115385,16.1076153462,3105.90022362,410.469838044,90.5797775943,NA
1996.15384615,33.3762469429,5473.70326288,922.239565104,NA,NA
1996.15384615,33.3762469429,5473.70326288,973.377380904,NA,NA
1996.29807692,30.7808954655,NA,NA,NA,NA
1996.34615385,10.1815172172,6792.52507006,667.142718041,198.095677855,NA
1996.34615385,10.1815172172,6792.52507006,1382.37222736,198.095677855,NA
1996.34615385,10.1815172172,3651.74127255,667.142718041,198.095677855,NA
1996.34615385,10.1815172172,3651.74127255,1382.37222736,198.095677855,NA
1996.44230769,11.341944035,4293.51021008,NA,90.5797775943,NA
1996.875,43.7144481261,NA,1810.55824303,NA,1
1997.35576923,24.8045441431,5473.70326288,1274.87836177,252.547893258,NA
1997.45192308,36.1904305625,3554.52235561,1762.35644057,537.611747456,1
1997.54807692,17.0007761882,8896.4911282,NA,232.909659246,NA
1997.64423077,32.4876838337,7566.6953714,1459.02421563,296.93148482,NA
1998.89423077,90.5797775943,15261.3780258,3554.52235561,NA,NA
1999.18269231,29.96142741,6978.3058486,2308.24152676,399.542055895,1
1999.18269231,29.96142741,6978.3058486,1144.4419008,399.542055895,1
1999.18269231,14.0746466334,6978.3058486,2308.24152676,399.542055895,1
1999.18269231,14.0746466334,6978.3058486,1144.4419008,399.542055895,1
1999.47115385,17.0007761882,9389.79801048,2713.89943121,457.252669897,NA
1999.47115385,17.0007761882,9389.79801048,2713.89943121,509.367521678,NA
1999.47115385,17.0007761882,21673.9216957,2713.89943121,457.252669897,NA
1999.47115385,17.0007761882,21673.9216957,2713.89943121,509.367521678,NA
1999.47115385,21.0969051341,9389.79801048,2713.89943121,457.252669897,NA
1999.47115385,21.0969051341,9389.79801048,2713.89943121,509.367521678,NA
1999.47115385,21.0969051341,21673.9216957,2713.89943121,457.252669897,NA
1999.47115385,21.0969051341,21673.9216957,2713.89943121,509.367521678,NA
2000.19230769,36.1904305625,22266.7201035,3367.78028307,743.179548784,1
2000.67307692,48.6967525166,28387.3596476,4782.85814165,1000,1
2000.67307692,48.6967525166,37180.2666391,4782.85814165,1000,1
2000.67307692,19.9885481187,28387.3596476,4782.85814165,1000,1
2000.67307692,19.9885481187,37180.2666391,4782.85814165,1000,1
2001.10576923,71.0497411443,29163.7757405,5473.70326288,897.687132447,1
2001.20192308,72.9930061435,42550.6550247,6264.33536657,2016.91455473,NA
2001.68269231,98.2171889188,25482.9674798,4293.51021008,805.842187761,NA
2001.82692308,57.2548788436,37180.2666391,NA,NA,NA
2002.40384615,48.6967525166,55730.6040127,9389.79801048,2246.79009181,NA
2002.83653846,62.0824360719,NA,8659.6432336,NA,NA
2002.88461538,98.2171889188,220673.406908,9389.79801048,1000,NA
2003.41346154,155.383983127,151247.254531,10181.5172172,1175.74326592,NA
2003.50961538,74.9894209332,54246.9093701,11341.944035,2186.97465501,1
2003.65384615,88.1683066776,106498.563535,13335.2143216,NA,NA
2004.80769231,88.1683066776,125214.968907,18938.4202733,2641.64832039,2
2004.80769231,88.1683066776,125214.968907,18938.4202733,1910.95297497,2
2004.80769231,88.1683066776,125214.968907,16548.1709994,2641.64832039,2
2004.80769231,88.1683066776,125214.968907,16548.1709994,1910.95297497,2
2004.80769231,88.1683066776,125214.968907,21096.9051341,2641.64832039,2
2004.80769231,88.1683066776,125214.968907,21096.9051341,1910.95297497,2
2004.80769231,88.1683066776,106498.563535,18938.4202733,2641.64832039,2
2004.80769231,88.1683066776,106498.563535,18938.4202733,1910.95297497,2
2004.80769231,88.1683066776,106498.563535,16548.1709994,2641.64832039,2
2004.80769231,88.1683066776,106498.563535,16548.1709994,1910.95297497,2
2004.80769231,88.1683066776,106498.563535,21096.9051341,2641.64832039,2
2004.80769231,88.1683066776,106498.563535,21096.9051341,1910.95297497,2
2004.80769231,88.1683066776,273841.963426,18938.4202733,2641.64832039,2
2004.80769231,88.1683066776,273841.963426,18938.4202733,1910.95297497,2
2004.80769231,88.1683066776,273841.963426,16548.1709994,2641.64832039,2
2004.80769231,88.1683066776,273841.963426,16548.1709994,1910.95297497,2
2004.80769231,88.1683066776,273841.963426,21096.9051341,2641.64832039,2
2004.80769231,88.1683066776,273841.963426,21096.9051341,1910.95297497,2
2004.80769231,115.478198469,125214.968907,18938.4202733,2641.64832039,2
2004.80769231,115.478198469,125214.968907,18938.4202733,1910.95297497,2
2004.80769231,115.478198469,125214.968907,16548.1709994,2641.64832039,2
2004.80769231,115.478198469,125214.968907,16548.1709994,1910.95297497,2
2004.80769231,115.478198469,125214.968907,21096.9051341,2641.64832039,2
2004.80769231,115.478198469,125214.968907,21096.9051341,1910.95297497,2
2004.80769231,115.478198469,106498.563535,18938.4202733,2641.64832039,2
2004.80769231,115.478198469,106498.563535,18938.4202733,1910.95297497,2
2004.80769231,115.478198469,106498.563535,16548.1709994,2641.64832039,2
2004.80769231,115.478198469,106498.563535,16548.1709994,1910.95297497,2
2004.80769231,115.478198469,106498.563535,21096.9051341,2641.64832039,2
2004.80769231,115.478198469,106498.563535,21096.9051341,1910.95297497,2
