x,y,runtime,representation,representation.target_distortion,representation.extra_dimensions
-8.382640721137207,10.005442615608429,38.519710143,MetricSpaceEmbedding,1.3,True
-6.870715977334022,9.579915388096932,40.768990501,MetricSpaceEmbedding,1.3,True
-7.93855786075644,11.641085778942712,50.626717135,MetricSpaceEmbedding,1.3,True
-8.08866720349223,11.254989745897142,70.300527352,MetricSpaceEmbedding,1.3,True
-5.914999168523647,9.858209112398836,70.285758996,MetricSpaceEmbedding,1.3,True
-5.04471326670067,9.564437919387167,45.223107072,MetricSpaceEmbedding,1.3,True
-9.669201285567153,10.980976941514552,39.690069497,MetricSpaceEmbedding,1.3,True
-6.181532757879361,10.132585883759408,37.056328712,MetricSpaceEmbedding,1.3,True
-5.578533347375389,9.67985914458087,38.124799424,MetricSpaceEmbedding,1.3,True
-5.121424586889768,9.373000469718189,50.755232,MetricSpaceEmbedding,1.3,True
-9.04420008071469,11.847016030512163,41.868796649,MetricSpaceEmbedding,1.3,True
-7.470377697476536,11.44413373859735,46.815335213,MetricSpaceEmbedding,1.3,True
-5.166090130712794,8.675164405880448,70.304164431,MetricSpaceEmbedding,1.3,True
-9.140277189075173,10.92403567924894,80.492207853,MetricSpaceEmbedding,1.3,True
-7.981866453736731,9.505099840372072,47.720237283,MetricSpaceEmbedding,1.3,True
-7.279297452332971,11.740014500701626,46.496581641,MetricSpaceEmbedding,1.3,True
-5.992765462814684,10.609080929672803,41.149871418,MetricSpaceEmbedding,1.3,True
-9.514464353469076,10.92192669879618,39.69846664,MetricSpaceEmbedding,1.3,True
-5.5873015632832015,9.587003951603325,51.698984,MetricSpaceEmbedding,1.3,True
-7.84457869208744,10.544105964612408,70.356865708,MetricSpaceEmbedding,1.3,True
-9.080655050339562,10.13874894181636,41.148376411,MetricSpaceEmbedding,1.3,True
-7.718347363743144,10.172742528906861,38.522319643,MetricSpaceEmbedding,1.3,True
-6.871123558121655,10.394396361758442,36.885745929,MetricSpaceEmbedding,1.3,True
-7.817112818298037,9.888072401163491,37.056636426,MetricSpaceEmbedding,1.3,True
-6.710684318407627,9.243351772073817,72.063257855,MetricSpaceEmbedding,1.3,True
-6.609732110148873,10.820276969814476,39.423215002,MetricSpaceEmbedding,1.3,True
-6.92591103690102,9.973480389133032,36.869322,MetricSpaceEmbedding,1.3,True
-8.424410574640707,11.683314136934799,70.350514282,MetricSpaceEmbedding,1.3,True
-5.615904598693765,8.798908506630145,33.8512875,MetricSpaceEmbedding,1.3,True
-9.51387054755806,12.701668524844683,38.720183567,MetricSpaceEmbedding,1.3,True
-7.707972050982932,11.172194167249739,39.715394721,MetricSpaceEmbedding,1.3,True
-6.925808192106551,10.843893121738622,36.811975213,MetricSpaceEmbedding,1.3,True
-7.870238506900413,11.050763545661175,39.43035857,MetricSpaceEmbedding,1.3,True
-6.466566217614959,10.436735408111055,71.425748563,MetricSpaceEmbedding,1.3,True
-7.68377604395393,11.088980405820926,36.8691985,MetricSpaceEmbedding,1.3,True
-5.823479806234799,9.386198638707894,36.926860356,MetricSpaceEmbedding,1.3,True
-8.086922224703494,11.93112069266274,71.954395424,MetricSpaceEmbedding,1.3,True
-5.867465164323434,9.986192025564042,39.624452706,MetricSpaceEmbedding,1.3,True
-6.292490415514662,11.413193371723866,46.487682356,MetricSpaceEmbedding,1.3,True
-5.2676293984599285,10.10570734985187,46.423911213,MetricSpaceEmbedding,1.3,True
-6.317574970201121,10.87328248815575,74.528504063,MetricSpaceEmbedding,1.3,True
-7.860396392960914,9.41448543717409,38.516654643,MetricSpaceEmbedding,1.3,True
-7.3478770909841105,9.983855944445462,38.002193776,MetricSpaceEmbedding,1.3,True
-6.223361868088176,11.459726187727082,38.156094998,MetricSpaceEmbedding,1.3,True
-6.746930144999391,9.607938836686825,43.046722928,MetricSpaceEmbedding,1.3,True
-6.751836901407989,10.964215396407187,36.883946713,MetricSpaceEmbedding,1.3,True
-6.9485963088392895,10.666805568224385,40.766369215,MetricSpaceEmbedding,1.3,True
-7.612595546062291,9.891852489147908,36.933146642,MetricSpaceEmbedding,1.3,True
-4.816529844376113,8.8421846482886,54.440601572,MetricSpaceEmbedding,1.3,True
-6.527612695343015,10.244806139627341,45.280865929,MetricSpaceEmbedding,1.3,True
-8.002370574524054,11.592191701550101,47.226678429,MetricSpaceEmbedding,1.3,True
-5.080460997084551,9.732143183511596,33.8514395,MetricSpaceEmbedding,1.3,True
-8.99829866848289,10.48037452924234,75.210373413,MetricSpaceEmbedding,1.3,True
-7.566888069263767,10.780780157696473,45.283870213,MetricSpaceEmbedding,1.3,True
-9.06106751152978,11.266775924050807,46.518479358,MetricSpaceEmbedding,1.3,True
-7.403792830227056,9.97972360775843,73.83945171,MetricSpaceEmbedding,1.3,True
-6.295812100907393,11.750979954610333,47.170965356,MetricSpaceEmbedding,1.3,True
-5.83923380112222,10.419181125204535,38.580671642,MetricSpaceEmbedding,1.3,True
-7.8791314269171675,12.63862704166919,45.414317855,MetricSpaceEmbedding,1.3,True
-5.283643842318916,10.204102577463962,38.521930642,MetricSpaceEmbedding,1.3,True
-6.586538095873458,10.009926309286987,33.918402286,MetricSpaceEmbedding,1.3,True
-7.739681715244836,12.077007383072816,37.004044712,MetricSpaceEmbedding,1.3,True
-8.342560009475429,10.5654548448591,73.322445845,MetricSpaceEmbedding,1.3,True
-6.356973807794984,9.972568975968242,39.657194649,MetricSpaceEmbedding,1.3,True
-5.676101852574995,9.842594573519468,36.753110572,MetricSpaceEmbedding,1.3,True
-7.027619150565308,12.054484523130828,39.421211428,MetricSpaceEmbedding,1.3,True
-6.225305658995035,8.642189494796117,36.932660356,MetricSpaceEmbedding,1.3,True
-6.566344865489297,9.214022949149527,39.423414859,MetricSpaceEmbedding,1.3,True
-7.72588315545202,9.939433721836537,74.089879708,MetricSpaceEmbedding,1.3,True
-6.382356178294884,8.935150331246556,108.065112358,MetricSpaceEmbedding,1.3,True
-8.738050214742819,12.404054489970251,70.353226282,MetricSpaceEmbedding,1.3,True
-6.776272050585562,11.527589291506493,56.420544207,MetricSpaceEmbedding,1.3,True
-9.533593830453237,12.436680466219412,76.158854272,MetricSpaceEmbedding,1.3,True
-5.456382676441274,10.110459739806451,70.293276845,MetricSpaceEmbedding,1.3,True
-6.931409260936515,10.266808517578438,45.287866641,MetricSpaceEmbedding,1.3,True
