mappings_evaluated,kpn,tgff.file,representation,tgff.directory,kpn.name,trace,time_representation,mapper.record_statistics,time_simulating,representation_init_time,processes_in_task,mapper.random_seed,platform,mappings_cached,mapper,best_mapping_time,log_level
,tgff_reader,networking-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_6,tgff_reader,,True,,,,10,haec,,genetic,,ERROR
300,tgff_reader,office-automation-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_0,tgff_reader,0.4323468039983709,True,0.6141211339999996,0.18964774906635284,5,8,mppa_coolidge,0,random_walk,682.260933334,ERROR
173,tgff_reader,telecom-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_2,tgff_reader,0.042809035956452135,True,0.21543348298291676,4.5025721192359924e-05,6,2,multi_cluster,103,genetic,90.039755,ERROR
,tgff_reader,office-automation-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_8,tgff_reader,,True,,,,3,haec,,tabu_search,,ERROR
,tgff_reader,office-automation-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_3,tgff_reader,,True,,,,3,multi_cluster,,genetic,,ERROR
300,tgff_reader,telecom-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_6,tgff_reader,0.02739502699841978,True,0.13638023600000737,0.006167743355035782,2,3,designer_odroid,0,random_walk,0.0012505,ERROR
300,tgff_reader,auto-indust-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_1,tgff_reader,0.02902590899975621,True,0.28060730200000017,6.589479744434357e-05,4,6,designer_odroid,0,random_walk,0.005988702,ERROR
1289,tgff_reader,consumer-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_0,tgff_reader,2.039108370010581,True,2.5517546169739944,0.18537061847746372,7,2,haec,40,simulated_annealing,4.367599998,ERROR
3,tgff_reader,networking-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_0,tgff_reader,0.26193244997375587,True,0.002120759001627448,0.19087303802371025,1,10,mppa_coolidge,1630,tabu_search,0.0005065,ERROR
,tgff_reader,office-automation-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_4,tgff_reader,,True,,,,10,haec,,simulated_annealing,,ERROR
,tgff_reader,auto-indust-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_8,tgff_reader,,True,,,,5,designer_odroid,,genetic,,ERROR
,tgff_reader,auto-indust-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_7,tgff_reader,,True,,,,7,designer_odroid,,random_walk,,ERROR
20,tgff_reader,telecom-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_4,tgff_reader,0.03752468097809469,True,0.011217881998163648,0.005019327625632286,3,6,designer_odroid,246,genetic,0.002001,ERROR
300,tgff_reader,networking-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_0,tgff_reader,0.0059886929993808735,True,0.06230218199999986,6.538629531860352e-05,1,5,designer_odroid,0,random_walk,0.0005065,ERROR
,tgff_reader,consumer-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_3,tgff_reader,,True,,,,8,multi_cluster,,genetic,,ERROR
300,tgff_reader,auto-indust-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_3,tgff_reader,0.02903257899924938,True,0.35604111,6.058812141418457e-05,5,6,multi_cluster,0,random_walk,2060.002501,ERROR
188,tgff_reader,networking-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_3,tgff_reader,0.03295147098469897,True,0.14896521697301068,4.8004090785980225e-05,4,9,designer_odroid,76,genetic,0.00287,ERROR
226,tgff_reader,auto-indust-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_3,tgff_reader,0.2977833839922823,True,0.31484734201694664,8.455105125904083e-05,5,9,haec,47,genetic,0.1546376,ERROR
142,tgff_reader,office-automation-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_0,tgff_reader,0.03713374795552227,True,0.14698524198320229,4.7268345952033997e-05,5,8,multi_cluster,124,genetic,80.002001,ERROR
,tgff_reader,auto-indust-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_7,tgff_reader,,True,,,,10,haec,,genetic,,ERROR
,tgff_reader,consumer-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_4,tgff_reader,,True,,,,1,mppa_coolidge,,simulated_annealing,,ERROR
36,tgff_reader,telecom-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_0,tgff_reader,0.37558924301629304,True,0.052289255007053725,0.18857632763683796,4,5,mppa_coolidge,232,genetic,805.835588333,ERROR
,tgff_reader,office-automation-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_3,tgff_reader,,True,,,,8,multi_cluster,,simulated_annealing,,ERROR
,tgff_reader,consumer-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_7,tgff_reader,,True,,,,4,designer_odroid,,random_walk,,ERROR
,tgff_reader,office-automation-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_3,tgff_reader,,True,,,,2,haec,,random_walk,,ERROR
300,tgff_reader,telecom-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_8,tgff_reader,0.07017159899987746,True,0.29766492700000047,0.18702915124595165,2,4,haec,0,random_walk,0.169327783,ERROR
300,tgff_reader,telecom-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_4,tgff_reader,0.03512241700082086,True,0.23253484699999988,0.006260283291339874,3,9,designer_odroid,0,random_walk,0.002001,ERROR
80,tgff_reader,consumer-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_0,tgff_reader,0.7187289240046084,True,0.16923497300012968,0.18800122663378716,7,4,mppa_coolidge,285,tabu_search,1002.76605,ERROR
,tgff_reader,office-automation-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_4,tgff_reader,,True,,,,6,multi_cluster,,tabu_search,,ERROR
49,tgff_reader,networking-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_2,tgff_reader,0.3681057680005324,True,0.06909777299551934,0.19570695608854294,4,1,mppa_coolidge,317,tabu_search,803.335455833,ERROR
296,tgff_reader,auto-indust-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_1,tgff_reader,0.20203169499109208,True,0.3579968180201831,0.0005923658609390259,4,1,haec,31,tabu_search,1.709827799,ERROR
,tgff_reader,auto-indust-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_5,tgff_reader,,True,,,,7,haec,,genetic,,ERROR
,tgff_reader,networking-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_6,tgff_reader,,True,,,,2,mppa_coolidge,,tabu_search,,ERROR
,tgff_reader,consumer-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_4,tgff_reader,,True,,,,1,haec,,tabu_search,,ERROR
8,tgff_reader,telecom-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_8,tgff_reader,0.08511180499044713,True,0.002970348999951966,0.005217729136347771,2,2,designer_odroid,798,tabu_search,0.0012505,ERROR
,tgff_reader,consumer-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_3,tgff_reader,,True,,,,6,designer_odroid,,genetic,,ERROR
1056,tgff_reader,telecom-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_2,tgff_reader,1.364880313991307,True,1.7895295940033975,8.565187454223633e-05,6,10,haec,17,simulated_annealing,0.705105016,ERROR
2100,tgff_reader,auto-indust-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_2,tgff_reader,4.067686857020817,True,5.410053201969276,8.720904588699341e-05,9,6,haec,3,simulated_annealing,2.186699998,ERROR
,tgff_reader,consumer-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_5,tgff_reader,,True,,,,7,multi_cluster,,tabu_search,,ERROR
300,tgff_reader,auto-indust-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_0,tgff_reader,0.042660974999307655,True,0.44789635699999975,6.632320582866669e-05,6,2,designer_odroid,0,random_walk,0.006661968,ERROR
,tgff_reader,office-automation-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_8,tgff_reader,,True,,,,4,mppa_coolidge,,tabu_search,,ERROR
63,tgff_reader,auto-indust-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_1,tgff_reader,0.4015831270016861,True,0.08433028000035847,0.19067277945578098,4,4,mppa_coolidge,364,tabu_search,803.335383833,ERROR
,tgff_reader,office-automation-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_1,tgff_reader,,True,,,,2,multi_cluster,,simulated_annealing,,ERROR
103,tgff_reader,telecom-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_1,tgff_reader,0.49549501999717904,True,0.1908734979806468,0.18833942711353302,6,8,mppa_coolidge,164,genetic,410.866588332,ERROR
,tgff_reader,networking-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_5,tgff_reader,,True,,,,2,haec,,tabu_search,,ERROR
