mapper,trace,kpn.name,processes_in_task,platform,mappings_cached,mapper.random_seed,mapper.record_statistics,log_level,tgff.directory,best_mapping_time,representation.canonical_operations,time_simulating,tgff.file,kpn,representation,time_representation,representation_init_time,mappings_evaluated
genetic,tgff_reader,TASK_GRAPH_6,,haec,,10,True,ERROR,../../../tgff/e3s-0.9,,True,,networking-mocsyn.tgff,tgff_reader,Symmetries,,,
random_walk,tgff_reader,TASK_GRAPH_0,5,mppa_coolidge,0,8,True,ERROR,../../../tgff/e3s-0.9,682.260933334,True,0.6221742459999933,office-automation-mocsyn.tgff,tgff_reader,Symmetries,0.2984649949994491,0.18446394056081772,300
genetic,tgff_reader,TASK_GRAPH_2,6,multi_cluster,129,2,True,ERROR,../../../tgff/e3s-0.9,90.039755,False,0.18180808902252465,telecom-mocsyn.tgff,tgff_reader,Symmetries,0.04421839799397276,0.0003995262086391449,147
tabu_search,tgff_reader,TASK_GRAPH_8,,haec,,3,True,ERROR,../../../tgff/e3s-0.9,,False,,office-automation-mocsyn.tgff,tgff_reader,Symmetries,,,
genetic,tgff_reader,TASK_GRAPH_3,,multi_cluster,,3,True,ERROR,../../../tgff/e3s-0.9,,True,,office-automation-mocsyn.tgff,tgff_reader,Symmetries,,,
random_walk,tgff_reader,TASK_GRAPH_6,2,designer_odroid,0,3,True,ERROR,../../../tgff/e3s-0.9,0.0012505,True,0.14013149299999975,telecom-mocsyn.tgff,tgff_reader,Symmetries,0.026695546999690123,0.006348038092255592,300
random_walk,tgff_reader,TASK_GRAPH_1,4,designer_odroid,0,6,True,ERROR,../../../tgff/e3s-0.9,0.005988702,False,0.3039460680000001,auto-indust-mocsyn.tgff,tgff_reader,Symmetries,0.0413605470002949,0.0053208451718091965,300
simulated_annealing,tgff_reader,TASK_GRAPH_0,7,haec,16,2,True,ERROR,../../../tgff/e3s-0.9,5.134266665,True,0.8850255779943836,consumer-mocsyn.tgff,tgff_reader,Symmetries,0.7067022240353253,0.1827291864901781,426
tabu_search,tgff_reader,TASK_GRAPH_0,1,mppa_coolidge,1680,10,True,ERROR,../../../tgff/e3s-0.9,0.0065,True,0.0007097359994077124,networking-mocsyn.tgff,tgff_reader,Symmetries,0.1318509379925672,0.1837638020515442,1
simulated_annealing,tgff_reader,TASK_GRAPH_4,,haec,,10,True,ERROR,../../../tgff/e3s-0.9,,False,,office-automation-mocsyn.tgff,tgff_reader,Symmetries,,,
genetic,tgff_reader,TASK_GRAPH_8,,designer_odroid,,5,True,ERROR,../../../tgff/e3s-0.9,,False,,auto-indust-mocsyn.tgff,tgff_reader,Symmetries,,,
random_walk,tgff_reader,TASK_GRAPH_7,,designer_odroid,,7,True,ERROR,../../../tgff/e3s-0.9,,False,,auto-indust-mocsyn.tgff,tgff_reader,Symmetries,,,
genetic,tgff_reader,TASK_GRAPH_4,3,designer_odroid,244,6,True,ERROR,../../../tgff/e3s-0.9,0.002001,True,0.012446291999367531,telecom-mocsyn.tgff,tgff_reader,Symmetries,0.037487816996872425,0.004902826622128487,22
random_walk,tgff_reader,TASK_GRAPH_0,1,designer_odroid,0,5,True,ERROR,../../../tgff/e3s-0.9,0.0005065,False,0.06518476199999995,networking-mocsyn.tgff,tgff_reader,Symmetries,0.018154547999074566,0.005937840789556503,300
genetic,tgff_reader,TASK_GRAPH_3,,multi_cluster,,8,True,ERROR,../../../tgff/e3s-0.9,,True,,consumer-mocsyn.tgff,tgff_reader,Symmetries,,,
random_walk,tgff_reader,TASK_GRAPH_3,5,multi_cluster,0,6,True,ERROR,../../../tgff/e3s-0.9,4040.0046375,False,0.3709446919999996,auto-indust-mocsyn.tgff,tgff_reader,Symmetries,0.029021844999078894,0.0004459414631128311,300
genetic,tgff_reader,TASK_GRAPH_3,4,designer_odroid,191,9,True,ERROR,../../../tgff/e3s-0.9,0.00287,False,0.05649202998756664,networking-mocsyn.tgff,tgff_reader,Symmetries,0.04481734499313461,0.006581250578165054,73
genetic,tgff_reader,TASK_GRAPH_3,5,haec,61,9,True,ERROR,../../../tgff/e3s-0.9,0.1546376,False,0.29640923899478366,auto-indust-mocsyn.tgff,tgff_reader,Symmetries,0.29122399099287577,0.1825741734355688,212
genetic,tgff_reader,TASK_GRAPH_0,5,multi_cluster,175,8,True,ERROR,../../../tgff/e3s-0.9,80.002001,False,0.0936305689974688,office-automation-mocsyn.tgff,tgff_reader,Symmetries,0.03764891100945533,0.00041233934462070465,91
genetic,tgff_reader,TASK_GRAPH_7,,haec,,10,True,ERROR,../../../tgff/e3s-0.9,,False,,auto-indust-mocsyn.tgff,tgff_reader,Symmetries,,,
simulated_annealing,tgff_reader,TASK_GRAPH_4,,mppa_coolidge,,1,True,ERROR,../../../tgff/e3s-0.9,,False,,consumer-mocsyn.tgff,tgff_reader,Symmetries,,,
genetic,tgff_reader,TASK_GRAPH_0,4,mppa_coolidge,219,5,True,ERROR,../../../tgff/e3s-0.9,12.505605499,True,0.07136832299511298,telecom-mocsyn.tgff,tgff_reader,Symmetries,0.2557588630115788,0.183338962495327,49
simulated_annealing,tgff_reader,TASK_GRAPH_3,,multi_cluster,,8,True,ERROR,../../../tgff/e3s-0.9,,True,,office-automation-mocsyn.tgff,tgff_reader,Symmetries,,,
random_walk,tgff_reader,TASK_GRAPH_7,,designer_odroid,,4,True,ERROR,../../../tgff/e3s-0.9,,True,,consumer-mocsyn.tgff,tgff_reader,Symmetries,,,
random_walk,tgff_reader,TASK_GRAPH_3,,haec,,2,True,ERROR,../../../tgff/e3s-0.9,,False,,office-automation-mocsyn.tgff,tgff_reader,Symmetries,,,
random_walk,tgff_reader,TASK_GRAPH_8,2,haec,0,4,True,ERROR,../../../tgff/e3s-0.9,0.169327783,True,0.31269997499999963,telecom-mocsyn.tgff,tgff_reader,Symmetries,0.06970445499973721,0.1827277634292841,300
random_walk,tgff_reader,TASK_GRAPH_4,3,designer_odroid,0,9,True,ERROR,../../../tgff/e3s-0.9,0.002001,True,0.23885391700000017,telecom-mocsyn.tgff,tgff_reader,Symmetries,0.03419547500016051,0.006358332931995392,300
tabu_search,tgff_reader,TASK_GRAPH_0,7,mppa_coolidge,251,4,True,ERROR,../../../tgff/e3s-0.9,1000.00105,True,0.18030364199876203,consumer-mocsyn.tgff,tgff_reader,Symmetries,0.5598053380017518,0.18228218518197536,84
tabu_search,tgff_reader,TASK_GRAPH_4,,multi_cluster,,6,True,ERROR,../../../tgff/e3s-0.9,,True,,office-automation-mocsyn.tgff,tgff_reader,Symmetries,,,
tabu_search,tgff_reader,TASK_GRAPH_2,4,mppa_coolidge,326,1,True,ERROR,../../../tgff/e3s-0.9,406.668789166,True,0.04188150000118185,networking-mocsyn.tgff,tgff_reader,Symmetries,0.23591430799751834,0.186120530590415,32
tabu_search,tgff_reader,TASK_GRAPH_1,4,haec,122,1,True,ERROR,../../../tgff/e3s-0.9,1.709827799,False,0.2456514069908735,auto-indust-mocsyn.tgff,tgff_reader,Symmetries,0.19579063500532357,0.18284124694764614,205
genetic,tgff_reader,TASK_GRAPH_5,,haec,,7,True,ERROR,../../../tgff/e3s-0.9,,True,,auto-indust-mocsyn.tgff,tgff_reader,Symmetries,,,
tabu_search,tgff_reader,TASK_GRAPH_6,,mppa_coolidge,,2,True,ERROR,../../../tgff/e3s-0.9,,True,,networking-mocsyn.tgff,tgff_reader,Symmetries,,,
tabu_search,tgff_reader,TASK_GRAPH_4,,haec,,1,True,ERROR,../../../tgff/e3s-0.9,,True,,consumer-mocsyn.tgff,tgff_reader,Symmetries,,,
tabu_search,tgff_reader,TASK_GRAPH_8,2,designer_odroid,760,2,True,ERROR,../../../tgff/e3s-0.9,0.0012505,True,0.004016704999230569,telecom-mocsyn.tgff,tgff_reader,Symmetries,0.08119204200556851,0.005310019478201866,11
genetic,tgff_reader,TASK_GRAPH_3,,designer_odroid,,6,True,ERROR,../../../tgff/e3s-0.9,,True,,consumer-mocsyn.tgff,tgff_reader,Symmetries,,,
simulated_annealing,tgff_reader,TASK_GRAPH_2,6,haec,28,10,True,ERROR,../../../tgff/e3s-0.9,1.758432849,False,0.6090212249728211,telecom-mocsyn.tgff,tgff_reader,Symmetries,0.5310062610005843,0.18226377479732037,351
simulated_annealing,tgff_reader,TASK_GRAPH_2,9,haec,20,6,True,ERROR,../../../tgff/e3s-0.9,2.272811165,False,4.019719960997463,auto-indust-mocsyn.tgff,tgff_reader,Symmetries,2.7438069079989873,0.18248258903622627,1560
tabu_search,tgff_reader,TASK_GRAPH_5,,multi_cluster,,7,True,ERROR,../../../tgff/e3s-0.9,,False,,consumer-mocsyn.tgff,tgff_reader,Symmetries,,,
random_walk,tgff_reader,TASK_GRAPH_0,6,designer_odroid,0,2,True,ERROR,../../../tgff/e3s-0.9,0.006661968,False,0.4594354130000016,auto-indust-mocsyn.tgff,tgff_reader,Symmetries,0.05417085799854249,0.005296504124999046,300
tabu_search,tgff_reader,TASK_GRAPH_8,,mppa_coolidge,,4,True,ERROR,../../../tgff/e3s-0.9,,False,,office-automation-mocsyn.tgff,tgff_reader,Symmetries,,,
tabu_search,tgff_reader,TASK_GRAPH_1,4,mppa_coolidge,357,4,True,ERROR,../../../tgff/e3s-0.9,406.673617666,True,0.050821801002712164,auto-indust-mocsyn.tgff,tgff_reader,Symmetries,0.25032917600037763,0.18145642429590225,36
simulated_annealing,tgff_reader,TASK_GRAPH_1,,multi_cluster,,2,True,ERROR,../../../tgff/e3s-0.9,,True,,office-automation-mocsyn.tgff,tgff_reader,Symmetries,,,
genetic,tgff_reader,TASK_GRAPH_1,6,mppa_coolidge,115,8,True,ERROR,../../../tgff/e3s-0.9,14.206372165,True,0.28054681100547896,telecom-mocsyn.tgff,tgff_reader,Symmetries,0.3712183030474989,0.18244431726634502,152
tabu_search,tgff_reader,TASK_GRAPH_5,,haec,,2,True,ERROR,../../../tgff/e3s-0.9,,True,,networking-mocsyn.tgff,tgff_reader,Symmetries,,,
simulated_annealing,tgff_reader,TASK_GRAPH_0,7,multi_cluster,22,8,True,ERROR,../../../tgff/e3s-0.9,2101.6525505,True,0.273129011007768,consumer-mocsyn.tgff,tgff_reader,Symmetries,0.043190589000005275,0.00041155703365802765,180
random_walk,tgff_reader,TASK_GRAPH_6,,multi_cluster,,9,True,ERROR,../../../tgff/e3s-0.9,,False,,office-automation-mocsyn.tgff,tgff_reader,Symmetries,,,
genetic,tgff_reader,TASK_GRAPH_7,,haec,,4,True,ERROR,../../../tgff/e3s-0.9,,False,,consumer-mocsyn.tgff,tgff_reader,Symmetries,,,
simulated_annealing,tgff_reader,TASK_GRAPH_5,,mppa_coolidge,,9,True,ERROR,../../../tgff/e3s-0.9,,True,,networking-mocsyn.tgff,tgff_reader,Symmetries,,,
genetic,tgff_reader,TASK_GRAPH_6,,mppa_coolidge,,4,True,ERROR,../../../tgff/e3s-0.9,,False,,consumer-mocsyn.tgff,tgff_reader,Symmetries,,,
simulated_annealing,tgff_reader,TASK_GRAPH_4,3,haec,128,5,True,ERROR,../../../tgff/e3s-0.9,0.138266683,False,0.06521573300051386,telecom-mocsyn.tgff,tgff_reader,Symmetries,0.0954131869621051,0.18208258412778378,64
tabu_search,tgff_reader,TASK_GRAPH_1,6,multi_cluster,145,3,True,ERROR,../../../tgff/e3s-0.9,90.002501,False,0.26205538899012026,telecom-mocsyn.tgff,tgff_reader,Symmetries,0.05230814100650605,0.0003994591534137726,213
tabu_search,tgff_reader,TASK_GRAPH_2,,designer_odroid,,7,True,ERROR,../../../tgff/e3s-0.9,,True,,consumer-mocsyn.tgff,tgff_reader,Symmetries,,,
simulated_annealing,tgff_reader,TASK_GRAPH_5,,haec,,10,True,ERROR,../../../tgff/e3s-0.9,,True,,office-automation-mocsyn.tgff,tgff_reader,Symmetries,,,
random_walk,tgff_reader,TASK_GRAPH_2,,multi_cluster,,2,True,ERROR,../../../tgff/e3s-0.9,,False,,consumer-mocsyn.tgff,tgff_reader,Symmetries,,,
tabu_search,tgff_reader,TASK_GRAPH_1,4,haec,149,2,True,ERROR,../../../tgff/e3s-0.9,1.007049999,False,0.20585804599249968,auto-indust-mocsyn.tgff,tgff_reader,Symmetries,0.1727720090002549,0.1827207151800394,171
tabu_search,tgff_reader,TASK_GRAPH_8,,mppa_coolidge,,4,True,ERROR,../../../tgff/e3s-0.9,,True,,office-automation-mocsyn.tgff,tgff_reader,Symmetries,,,
genetic,tgff_reader,TASK_GRAPH_1,4,designer_odroid,199,2,True,ERROR,../../../tgff/e3s-0.9,0.002751,True,0.061133545998018235,auto-indust-mocsyn.tgff,tgff_reader,Symmetries,0.04701357397971151,0.004913220182061195,78
random_walk,tgff_reader,TASK_GRAPH_7,,haec,,2,True,ERROR,../../../tgff/e3s-0.9,,False,,consumer-mocsyn.tgff,tgff_reader,Symmetries,,,
random_walk,tgff_reader,TASK_GRAPH_5,,designer_odroid,,3,True,ERROR,../../../tgff/e3s-0.9,,False,,office-automation-mocsyn.tgff,tgff_reader,Symmetries,,,
tabu_search,tgff_reader,TASK_GRAPH_8,2,designer_odroid,731,1,True,ERROR,../../../tgff/e3s-0.9,0.0012505,True,0.004478355011087842,telecom-mocsyn.tgff,tgff_reader,Symmetries,0.07913315397308907,0.00528942234814167,11
tabu_search,tgff_reader,TASK_GRAPH_6,,multi_cluster,,5,True,ERROR,../../../tgff/e3s-0.9,,False,,auto-indust-mocsyn.tgff,tgff_reader,Symmetries,,,
random_walk,tgff_reader,TASK_GRAPH_4,,mppa_coolidge,,8,True,ERROR,../../../tgff/e3s-0.9,,False,,auto-indust-mocsyn.tgff,tgff_reader,Symmetries,,,
random_walk,tgff_reader,TASK_GRAPH_8,,designer_odroid,,2,True,ERROR,../../../tgff/e3s-0.9,,True,,office-automation-mocsyn.tgff,tgff_reader,Symmetries,,,
simulated_annealing,tgff_reader,TASK_GRAPH_4,,mppa_coolidge,,10,True,ERROR,../../../tgff/e3s-0.9,,True,,networking-mocsyn.tgff,tgff_reader,Symmetries,,,
tabu_search,tgff_reader,TASK_GRAPH_6,,designer_odroid,,1,True,ERROR,../../../tgff/e3s-0.9,,True,,networking-mocsyn.tgff,tgff_reader,Symmetries,,,
simulated_annealing,tgff_reader,TASK_GRAPH_6,,designer_odroid,,5,True,ERROR,../../../tgff/e3s-0.9,,False,,consumer-mocsyn.tgff,tgff_reader,Symmetries,,,
tabu_search,tgff_reader,TASK_GRAPH_2,,designer_odroid,,2,True,ERROR,../../../tgff/e3s-0.9,,True,,consumer-mocsyn.tgff,tgff_reader,Symmetries,,,
random_walk,tgff_reader,TASK_GRAPH_2,6,multi_cluster,0,4,True,ERROR,../../../tgff/e3s-0.9,4050.039755,True,0.4564478359999999,telecom-mocsyn.tgff,tgff_reader,Symmetries,0.03818052499991609,0.0004613976925611496,300
tabu_search,tgff_reader,TASK_GRAPH_6,,multi_cluster,,3,True,ERROR,../../../tgff/e3s-0.9,,True,,office-automation-mocsyn.tgff,tgff_reader,Symmetries,,,
random_walk,tgff_reader,TASK_GRAPH_7,,multi_cluster,,6,True,ERROR,../../../tgff/e3s-0.9,,True,,auto-indust-mocsyn.tgff,tgff_reader,Symmetries,,,
genetic,tgff_reader,TASK_GRAPH_2,6,haec,34,4,True,ERROR,../../../tgff/e3s-0.9,0.160660666,False,0.39362280299246777,telecom-mocsyn.tgff,tgff_reader,Symmetries,0.3966256809871993,0.1810774840414524,234
