Mode,instance,UserTime,SysTime,WallTime,E_arm,E_mem,E_gpu,E_little,tetris
Tetris wct,i1,13.81,0.30,7.90,38.716493,0.591750,0.088894,4.889959,16.170757
Tetris wct,i1,14.52,0.37,8.70,42.845856,0.645928,0.124925,4.683504,26.386433
Tetris wct,i1,14.60,0.33,8.75,43.181707,0.647769,0.129659,4.631693,16.522384
Tetris wct,i1,14.61,0.41,8.87,42.125236,0.647506,0.128344,4.448908,30.344958
Tetris wct,i1,14.66,0.29,8.78,42.697261,0.647506,0.129659,4.596714,25.182226
Tetris wct,i1,14.68,0.33,8.83,42.516054,0.647243,0.130185,4.420767,38.817795
Tetris wct,i1,14.69,0.29,8.83,42.352468,0.643561,0.129133,4.484676,91.423920
Tetris wct,i1,14.70,0.31,8.84,42.234644,0.642246,0.128344,4.481257,25.882182
Tetris wct,i1,14.70,0.31,8.86,42.461613,0.641457,0.129922,4.517025,26.088272
Tetris wct,i1,14.70,0.36,8.93,42.400334,0.668283,0.134130,4.472578,23.285461
Tetris wct,i1,14.71,0.34,8.89,42.061853,0.649610,0.128344,4.368956,11.576480
Tetris wct,i1,14.72,0.29,8.86,42.428738,0.647506,0.129659,4.382369,26.965564
Tetris wct,i1,14.72,0.34,8.91,42.254895,0.642509,0.129659,4.365011,74.343907
Tetris wct,i1,14.73,0.21,8.77,42.553926,0.641720,0.129133,4.623540,23.480628
Tetris wct,i1,14.73,0.27,8.86,42.282510,0.640405,0.124925,4.389733,37.243662
Tetris wct,i1,14.73,0.37,8.95,41.613964,0.643561,0.129922,4.428131,10.718726
Tetris wct,i1,14.74,0.31,8.89,42.449778,0.651714,0.125188,4.366063,76.141831
Tetris wct,i1,14.74,0.31,8.92,41.960598,0.642772,0.131500,4.473367,30.926833
Tetris wct,i1,14.74,0.32,8.90,42.088416,0.650399,0.129133,4.461795,19.930024
Tetris wct,i1,14.74,0.34,8.92,42.355361,0.656711,0.133867,4.547007,31.914881
Tetris wct,i1,14.75,0.26,8.85,42.770901,0.649084,0.127818,4.479679,36.342698
Tetris wct,i1,14.75,0.33,8.91,42.019773,0.648821,0.127818,4.388418,16.393925
Tetris wct,i1,14.75,0.35,8.96,41.705751,0.666442,0.125977,4.340026,7.734794
Tetris wct,i1,14.75,0.39,9.01,43.191964,0.665127,0.134130,4.335029,47.364215
Tetris wct,i1,14.76,0.26,8.87,42.572073,0.646454,0.130185,4.481783,24.990761
Tetris wct,i1,14.76,0.31,8.93,42.492910,0.644876,0.128870,4.460217,21.179409
Tetris wct,i1,14.76,0.34,8.94,42.079211,0.644876,0.126240,4.420504,36.793407
Tetris wct,i1,14.76,0.35,8.98,43.363966,0.665127,0.134130,4.363959,52.421121
Tetris wct,i1,14.77,0.26,8.86,42.365355,0.643298,0.126766,4.411299,46.366251
Tetris wct,i1,14.77,0.27,8.86,42.034764,0.648821,0.129659,4.411825,20.538319
Tetris wct,i1,14.77,0.29,8.90,41.843300,0.638038,0.129659,4.321616,7.067081
Tetris wct,i1,14.77,0.31,8.94,42.178625,0.641720,0.130974,4.514132,78.255843
Tetris wct,i1,14.78,0.25,8.88,42.323012,0.648295,0.127292,4.359488,55.560636
Tetris wct,i1,14.78,0.26,8.88,41.796749,0.645928,0.128081,4.373164,29.708871
Tetris wct,i1,14.78,0.27,8.89,42.006886,0.646191,0.124662,4.334503,29.048410
Tetris wct,i1,14.78,0.30,8.91,41.890114,0.639879,0.129922,4.384736,10.014556
Tetris wct,i1,14.80,0.31,8.96,43.149095,0.666442,0.134130,4.366852,84.790424
Tetris wct,i1,14.80,0.33,8.98,43.782136,0.665390,0.134130,4.322405,35.134273
Tetris wct,i1,14.81,0.25,8.90,41.796486,0.644876,0.130185,4.316619,8.415128
Tetris wct,i1,14.81,0.28,8.93,41.857765,0.645139,0.124662,4.406302,23.733461
Tetris wct,i1,14.81,0.30,8.93,41.930616,0.643824,0.127555,4.383947,27.692818
Tetris wct,i1,14.82,0.29,8.96,43.161456,0.673280,0.131237,4.387103,21.079571
Tetris wct,i1,14.82,0.30,8.96,43.081504,0.663286,0.133604,4.426553,29.035576
Tetris wct,i1,14.83,0.28,8.96,43.340822,0.672754,0.128081,4.408669,30.295792
Tetris wct,i1,14.83,0.31,9.00,42.858480,0.664075,0.129396,4.400253,50.090276
Tetris wct,i1,14.83,0.32,9.00,43.147254,0.663812,0.134130,4.324509,34.203893
Tetris wct,i1,14.84,0.29,8.98,43.083608,0.663286,0.134130,4.345286,35.254277
Tetris wct,i1,14.84,0.30,8.98,42.846119,0.664338,0.126503,4.296105,28.430992
Tetris wct,i1,14.84,0.30,8.98,43.199591,0.663023,0.129396,4.293738,18.516182
Tetris wct,i1,14.85,0.25,8.94,42.166001,0.650136,0.126503,4.402094,22.534039
Tetris wct,i1,14.90,0.23,8.99,42.961839,0.659341,0.133867,4.376846,8.462003
Tetris wct,i2,13.78,0.34,7.89,38.716493,0.591750,0.088894,4.889959,34.852566
Tetris wct,i2,14.56,0.35,8.74,42.845856,0.645928,0.124925,4.683504,108.859007
Tetris wct,i2,14.57,0.39,8.76,42.697261,0.647506,0.129659,4.596714,28.907745
Tetris wct,i2,14.65,0.26,8.71,43.181707,0.647769,0.129659,4.631693,20.381529
Tetris wct,i2,14.65,0.34,8.79,42.770901,0.649084,0.127818,4.479679,41.157396
Tetris wct,i2,14.65,0.37,8.81,42.461613,0.641457,0.129922,4.517025,41.894355
Tetris wct,i2,14.67,0.34,8.82,42.125236,0.647506,0.128344,4.448908,24.264633
Tetris wct,i2,14.67,0.38,8.84,42.061853,0.649610,0.128344,4.368956,15.102503
Tetris wct,i2,14.69,0.27,8.75,42.553926,0.641720,0.129133,4.623540,67.188409
Tetris wct,i2,14.70,0.32,8.80,42.352468,0.643561,0.129133,4.484676,41.038392
Tetris wct,i2,14.70,0.34,8.85,41.796749,0.645928,0.128081,4.373164,25.866683
Tetris wct,i2,14.70,0.34,8.85,42.355361,0.656711,0.129922,4.400779,19.840564
Tetris wct,i2,14.70,0.34,8.85,42.572073,0.646454,0.130185,4.481783,78.017884
Tetris wct,i2,14.70,0.37,8.85,42.034764,0.648821,0.129659,4.411825,46.959132
Tetris wct,i2,14.71,0.31,8.81,42.516054,0.647243,0.130185,4.420767,21.303073
Tetris wct,i2,14.71,0.34,8.86,42.006886,0.646191,0.124662,4.334503,24.374011
Tetris wct,i2,14.73,0.26,8.79,42.234644,0.642246,0.128344,4.481257,35.066484
Tetris wct,i2,14.73,0.35,8.88,42.178625,0.641720,0.127029,4.370534,26.269560
Tetris wct,i2,14.74,0.32,8.83,42.088416,0.650399,0.129133,4.461795,16.265424
Tetris wct,i2,14.74,0.32,8.85,42.400334,0.649084,0.130185,4.358962,8.160880
Tetris wct,i2,14.74,0.33,8.88,42.170998,0.650136,0.124136,4.275065,21.238074
Tetris wct,i2,14.74,0.34,8.87,42.254895,0.642509,0.129659,4.365011,42.507565
Tetris wct,i2,14.74,0.35,8.93,41.930616,0.643824,0.131500,4.383947,79.043641
Tetris wct,i2,14.75,0.29,8.87,42.323012,0.648295,0.127292,4.359488,49.782483
Tetris wct,i2,14.76,0.28,8.82,42.282510,0.640405,0.124925,4.389733,20.770153
Tetris wct,i2,14.76,0.30,8.85,42.449778,0.651714,0.125188,4.366063,22.268580
Tetris wct,i2,14.76,0.30,8.86,41.843300,0.638038,0.129659,4.321616,37.219575
Tetris wct,i2,14.76,0.34,8.90,41.613964,0.643561,0.125977,4.301102,12.906782
Tetris wct,i2,14.77,0.32,8.89,42.079211,0.644876,0.126240,4.311885,19.876066
Tetris wct,i2,14.77,0.36,8.91,41.841459,0.645665,0.130185,4.228251,18.853479
Tetris wct,i2,14.77,0.38,8.93,41.689182,0.638301,0.129922,4.376846,40.603931
Tetris wct,i2,14.78,0.29,8.87,41.960598,0.642772,0.127555,4.365011,46.699464
Tetris wct,i2,14.78,0.31,8.88,42.166001,0.650136,0.122821,4.281114,43.236070
Tetris wct,i2,14.78,0.33,8.90,42.019773,0.648821,0.127818,4.246398,21.879202
Tetris wct,i2,14.79,0.32,8.89,41.853294,0.642509,0.129659,4.313200,25.058884
Tetris wct,i2,14.80,0.28,8.86,42.492910,0.644876,0.128870,4.359225,56.471101
Tetris wct,i2,14.81,0.24,8.83,42.428738,0.647506,0.129659,4.382369,21.620409
Tetris wct,i2,14.81,0.30,8.91,41.705751,0.647769,0.122295,4.340026,85.578423
Tetris wct,i2,14.82,0.24,8.86,42.365355,0.643298,0.126766,4.411299,10.425642
Tetris wct,i2,14.82,0.31,8.93,42.443729,0.646191,0.130185,4.210893,51.594782
Tetris wct,i2,14.83,0.27,8.89,41.879594,0.653818,0.127292,4.239297,12.799069
Tetris wct,i2,14.83,0.31,8.95,43.083608,0.663286,0.134130,4.345286,50.389522
Tetris wct,i2,14.83,0.32,8.94,42.091572,0.665127,0.134130,4.363959,42.956276
Tetris wct,i2,14.84,0.23,8.88,41.890114,0.639879,0.129922,4.384736,61.408793
Tetris wct,i2,14.84,0.26,8.89,41.796486,0.644876,0.130185,4.316619,77.576426
Tetris wct,i2,14.85,0.27,8.91,41.857765,0.645139,0.124662,4.271646,35.474278
Tetris wct,i2,14.86,0.29,8.93,41.579774,0.644613,0.129396,4.400253,26.270308
Tetris wct,i2,14.86,0.31,8.96,42.846119,0.664338,0.126503,4.296105,27.262191
Tetris wct,i2,14.88,0.25,8.93,41.871704,0.643035,0.129396,4.293738,15.779252
Tetris wct,i2,14.89,0.27,8.95,41.936139,0.665127,0.134130,4.335029,10.787602
Tetris wct,i2,14.92,0.23,8.94,41.856976,0.645139,0.134130,4.324509,34.341601
Tetris wct,i3,13.77,0.34,7.90,40.042539,0.591750,0.088894,4.889959,22.707374
Tetris wct,i3,14.56,0.36,8.72,43.181707,0.647769,0.129659,4.631693,30.444834
Tetris wct,i3,14.57,0.33,8.70,42.845856,0.645928,0.124925,4.683504,46.669503
Tetris wct,i3,14.61,0.36,8.77,42.697261,0.647506,0.129659,4.596714,85.516387
Tetris wct,i3,14.65,0.31,8.75,42.553926,0.641720,0.129133,4.623540,31.601802
